,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after,accuracy_before_eval,accuracy_after_eval,loss_before_eval,loss_after_eval
0,124799,7.587335858261213e-05,0.963641881942749,0.963641881942749,0.1544124335050583,0.1544124335050583,0.963641881942749,0.963641881942749,0.1544124335050583,0.1544124335050583
1,11653,7.627281593158841e-05,0.9638728499412537,0.9638726711273193,0.15449559688568115,0.15449455380439758,0.9638728499412537,0.9638726711273193,0.15449559688568115,0.15449455380439758
2,46877,7.818186713848263e-05,0.964032769203186,0.9640323519706726,0.15414589643478394,0.15414535999298096,0.964032769203186,0.9640323519706726,0.15414589643478394,0.15414535999298096
3,136393,7.989566802280024e-05,0.9634523987770081,0.9634516835212708,0.1545267403125763,0.15452662110328674,0.9634523987770081,0.9634516835212708,0.1545267403125763,0.15452662110328674
4,110966,7.615768117830157e-05,0.9634345769882202,0.9634336829185486,0.1546795815229416,0.15467621386051178,0.9634345769882202,0.9634336829185486,0.1546795815229416,0.15467621386051178
5,18862,7.974747859407216e-05,0.9640091061592102,0.9640138745307922,0.15444032847881317,0.15443050861358643,0.9640091061592102,0.9640138745307922,0.15444032847881317,0.15443050861358643
6,167795,7.80037444201298e-05,0.9635708332061768,0.9635694622993469,0.15443386137485504,0.15442565083503723,0.9635708332061768,0.9635694622993469,0.15443386137485504,0.15442565083503723
7,128577,7.57793168304488e-05,0.9639261960983276,0.963936448097229,0.1545233279466629,0.1545097529888153,0.9639261960983276,0.963936448097229,0.1545233279466629,0.1545097529888153
8,165780,7.549970177933574e-05,0.9632983803749084,0.96329665184021,0.15457876026630402,0.1545691043138504,0.9632983803749084,0.96329665184021,0.15457876026630402,0.1545691043138504
9,7153,8.036756480578333e-05,0.9637011289596558,0.9637050628662109,0.15461479127407074,0.15460531413555145,0.9637011289596558,0.9637050628662109,0.15461479127407074,0.15460531413555145
10,28630,6.921918975422159e-05,0.9633280038833618,0.9633435606956482,0.15530209243297577,0.15527772903442383,0.9633280038833618,0.9633435606956482,0.15530209243297577,0.15527772903442383
11,159471,7.228417234728113e-05,0.9631858468055725,0.963195264339447,0.15532618761062622,0.15530583262443542,0.9631858468055725,0.963195264339447,0.15532618761062622,0.15530583262443542
