,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after,accuracy_before_eval,accuracy_after_eval,loss_before_eval,loss_after_eval
0,136339,-1,0.9593777060508728,0.9593777060508728,0.20693735778331757,0.20693735778331757,0.9587439894676208,0.9587439894676208,0.20195285975933075,0.20195285975933075
1,86848,-1,0.9593777060508728,0.9593774676322937,0.2064540982246399,0.2064538151025772,0.9587262272834778,0.9587259888648987,0.20194469392299652,0.201944500207901
2,84965,-1,0.95937180519104,0.9593712687492371,0.20643465220928192,0.20643548667430878,0.958702564239502,0.958702027797699,0.20195290446281433,0.20195305347442627
3,91552,-1,0.9594132304191589,0.9594124555587769,0.20643429458141327,0.20643633604049683,0.9586966037750244,0.9586958289146423,0.20198826491832733,0.20198918879032135
4,42170,-1,0.9594191312789917,0.9594181776046753,0.20537319779396057,0.20537272095680237,0.9587143659591675,0.9587133526802063,0.2019921988248825,0.20199374854564667
5,83733,-1,0.9593777060508728,0.9593764543533325,0.20473478734493256,0.2047349363565445,0.9587084650993347,0.9587072134017944,0.20198403298854828,0.20198668539524078
6,109729,-1,0.9593421816825867,0.9593465924263,0.2048133760690689,0.20481006801128387,0.9587321281433105,0.9587306380271912,0.20198965072631836,0.20199330151081085
7,161007,-1,0.95937180519104,0.9593759179115295,0.2042725831270218,0.2042674571275711,0.9587321281433105,0.9587363004684448,0.20201104879379272,0.20200709998607635
8,162030,-1,0.95937180519104,0.9593757390975952,0.2042686492204666,0.20426416397094727,0.9587558507919312,0.9587597846984863,0.20261479914188385,0.20261025428771973
9,96917,-1,0.9593599438667297,0.9593636989593506,0.2042803019285202,0.2042754888534546,0.9587617516517639,0.95876544713974,0.20320327579975128,0.20319968461990356
10,78744,-1,0.9593599438667297,0.9593634009361267,0.20476840436458588,0.20476475358009338,0.9587558507919312,0.9587593078613281,0.20320717990398407,0.20320412516593933
11,104914,-1,0.9593362212181091,0.9593394994735718,0.20476433634757996,0.20476089417934418,0.9588032364845276,0.9588063955307007,0.20319683849811554,0.20319484174251556
12,160383,-1,0.9592770338058472,0.9592800140380859,0.20426779985427856,0.20426499843597412,0.9587380886077881,0.9587469100952148,0.2037263959646225,0.20372001826763153
13,33867,-1,0.9593303203582764,0.959333062171936,0.2042692005634308,0.20426742732524872,0.9587498903274536,0.958758533000946,0.203145831823349,0.20314042270183563
14,64256,-1,0.9592651724815369,0.9592676758766174,0.20479042828083038,0.20478986203670502,0.9587677121162415,0.95877605676651,0.20313385128974915,0.2031296193599701
15,37602,-1,0.959241509437561,0.9592437744140625,0.20530471205711365,0.205304354429245,0.9587084650993347,0.9587225317955017,0.20264676213264465,0.20263957977294922
16,164934,-1,0.9593244194984436,0.959326446056366,0.2053244411945343,0.20532405376434326,0.9587321281433105,0.9587460160255432,0.20265546441078186,0.20264948904514313
17,13609,-1,0.9593658447265625,0.9593676328659058,0.20477288961410522,0.2047734409570694,0.9587380886077881,0.9587516784667969,0.20267577469348907,0.20267030596733093
18,77354,-1,0.9593777060508728,0.959379255771637,0.2047470211982727,0.20474889874458313,0.9587143659591675,0.9587277173995972,0.2026699036359787,0.2026645988225937
19,135192,-1,0.9593244194984436,0.9593256711959839,0.20476187765598297,0.2047649621963501,0.9587321281433105,0.9587452411651611,0.20268313586711884,0.2026785910129547
20,141032,-1,0.9593362212181091,0.9593372941017151,0.20477677881717682,0.20477943122386932,0.9587143659591675,0.9587271809577942,0.20268061757087708,0.20267686247825623
21,75069,-1,0.959300696849823,0.9593015909194946,0.20531554520130157,0.20531868934631348,0.9586847424507141,0.9586973786354065,0.202683225274086,0.20268023014068604
22,15455,-1,0.9593244194984436,0.9593250155448914,0.20532967150211334,0.20533320307731628,0.9586551785469055,0.958667516708374,0.202670618891716,0.20266859233379364
23,167925,-1,0.9593362212181091,0.9593365788459778,0.2059047818183899,0.20590849220752716,0.9586788415908813,0.9586909413337708,0.2026532143354416,0.20265232026576996
24,3710,-1,0.9592710733413696,0.9592770934104919,0.20594263076782227,0.20592382550239563,0.9587084650993347,0.958720326423645,0.20266395807266235,0.20266354084014893
25,146181,-1,0.9592888355255127,0.9592946171760559,0.2059382051229477,0.20592045783996582,0.958649218082428,0.9586608409881592,0.20267145335674286,0.20267195999622345
26,4904,-1,0.9592474102973938,0.9592528939247131,0.20594343543052673,0.20592647790908813,0.9586018323898315,0.9586132168769836,0.20267367362976074,0.20267385244369507
27,95602,-1,0.9592474102973938,0.959252655506134,0.20595067739486694,0.20593321323394775,0.9586018323898315,0.9586129188537598,0.20269690454006195,0.20269450545310974
28,49094,-1,0.9593244194984436,0.9593294858932495,0.20594938099384308,0.2059311866760254,0.958649218082428,0.9586601257324219,0.20270347595214844,0.20270073413848877
29,63619,-1,0.9592651724815369,0.9592700004577637,0.20596127212047577,0.20594428479671478,0.9586610794067383,0.9586717486381531,0.20270848274230957,0.20270638167858124
30,1612,-1,0.9592710733413696,0.9592756628990173,0.20546072721481323,0.20544445514678955,0.9586314558982849,0.9586418271064758,0.20270146429538727,0.20270049571990967
31,99365,-1,0.9592829346656799,0.9592872858047485,0.20548115670681,0.2054651826620102,0.9586788415908813,0.9586889743804932,0.20271436870098114,0.20271416008472443
32,137335,-1,0.9592177867889404,0.9592218399047852,0.20598278939723969,0.20596814155578613,0.958649218082428,0.9586591124534607,0.20270109176635742,0.20270201563835144
33,161655,-1,0.9592770338058472,0.9592808485031128,0.20598867535591125,0.20597213506698608,0.9586195945739746,0.9586292505264282,0.2027062177658081,0.202707901597023
34,163797,-1,0.9592888355255127,0.9592925310134888,0.20599530637264252,0.20597843825817108,0.9586255550384521,0.9586349725723267,0.2026979923248291,0.2027006596326828
35,104652,-1,0.9592296481132507,0.9592330455780029,0.20656344294548035,0.20654410123825073,0.9586433172225952,0.9586524963378906,0.20209065079689026,0.20209330320358276
36,82726,-1,0.9592533111572266,0.9592564702033997,0.20655646920204163,0.20653754472732544,0.9586255550384521,0.9586344361305237,0.20207899808883667,0.20208284258842468
37,99469,-1,0.9592651724815369,0.9592680335044861,0.20655502378940582,0.2065359652042389,0.9586255550384521,0.9586341977119446,0.2020944505929947,0.20209932327270508
38,168437,-1,0.9593125581741333,0.9593151807785034,0.20652104914188385,0.20650315284729004,0.9586195945739746,0.9586279988288879,0.2020905613899231,0.2020966112613678
39,23131,-1,0.9592888355255127,0.9592971801757812,0.20653998851776123,0.20651865005493164,0.9586077928543091,0.9586158990859985,0.20207126438617706,0.20207734405994415
40,87515,-1,0.9594013690948486,0.9594095349311829,0.20651301741600037,0.20649293065071106,0.9586433172225952,0.9586513042449951,0.2020839899778366,0.20209059119224548
41,34865,-1,0.9593836069107056,0.9593915343284607,0.20600785315036774,0.20598876476287842,0.9586018323898315,0.9586095809936523,0.20206917822360992,0.20207512378692627
42,115988,-1,0.9593480825424194,0.9593557119369507,0.20601782202720642,0.20599934458732605,0.9586433172225952,0.9586507678031921,0.20207926630973816,0.20208613574504852
43,118313,-1,0.9593066573143005,0.9593198895454407,0.20603173971176147,0.20600886642932892,0.9586551785469055,0.9586623311042786,0.2020762711763382,0.2020823359489441
