,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after,accuracy_before_eval,accuracy_after_eval,loss_before_eval,loss_after_eval
0,136339,-1,0.894396185874939,0.894396185874939,0.34271687269210815,0.34271687269210815,0.8934071063995361,0.8934071063995361,0.35198503732681274,0.35198503732681274
1,86848,-1,0.8943902254104614,0.8943896293640137,0.3427140712738037,0.3427150845527649,0.8933774828910828,0.893376886844635,0.351991206407547,0.35198974609375
2,84965,-1,0.894396185874939,0.8943949341773987,0.3427225649356842,0.3427239954471588,0.8933834433555603,0.8933821320533752,0.3519952595233917,0.3519958257675171
3,91552,-1,0.8944020867347717,0.8944061398506165,0.34272274374961853,0.3427216112613678,0.8934308290481567,0.8934288620948792,0.3519876003265381,0.3519901633262634
4,42170,-1,0.8944020867347717,0.8944054841995239,0.34274056553840637,0.3427393436431885,0.8934012055397034,0.893398642539978,0.3519822955131531,0.35198456048965454
5,83733,-1,0.894413948059082,0.8944166898727417,0.34273749589920044,0.3427380621433258,0.8933952450752258,0.8933920860290527,0.3519851267337799,0.35198795795440674
6,109729,-1,0.8943724632263184,0.8943746089935303,0.342740923166275,0.3427421748638153,0.8934544920921326,0.8934565782546997,0.35202649235725403,0.3520161211490631
7,161007,-1,0.894413948059082,0.8944154381752014,0.34274327754974365,0.342744380235672,0.8934485912322998,0.8934559226036072,0.3520377576351166,0.35201889276504517
8,162030,-1,0.8944317102432251,0.8944326043128967,0.3427409827709198,0.34274157881736755,0.8934544920921326,0.8934671878814697,0.35204198956489563,0.352020263671875
9,96917,-1,0.8944494724273682,0.894449770450592,0.34274131059646606,0.3427436053752899,0.8934900164604187,0.8935021162033081,0.35206201672554016,0.3520391881465912
10,78744,-1,0.8944553732872009,0.894455075263977,0.34273338317871094,0.3427375555038452,0.8934308290481567,0.8934422135353088,0.3520514965057373,0.3520306944847107
11,104914,-1,0.8944494724273682,0.8944544196128845,0.3427516222000122,0.34275180101394653,0.8934426307678223,0.8934534192085266,0.3520652949810028,0.3520433008670807
12,160383,-1,0.894396185874939,0.89439457654953,0.3427342474460602,0.34273675084114075,0.8934722542762756,0.8934824466705322,0.35206279158592224,0.35204267501831055
13,33867,-1,0.8943902254104614,0.89438796043396,0.34272733330726624,0.342731773853302,0.8934308290481567,0.893440306186676,0.35205912590026855,0.35204097628593445
14,64256,-1,0.8944376111030579,0.8944347500801086,0.3427236080169678,0.3427271544933319,0.8934248685836792,0.8934337496757507,0.35205918550491333,0.3520428240299225
15,37602,-1,0.8944020867347717,0.8944045305252075,0.3427431583404541,0.3427438735961914,0.8933952450752258,0.8934035897254944,0.352040559053421,0.352026104927063
16,164934,-1,0.894413948059082,0.8944157361984253,0.3427187502384186,0.3427197337150574,0.8934071063995361,0.8934147953987122,0.3520483672618866,0.35203444957733154
17,13609,-1,0.8943902254104614,0.8943914175033569,0.3427025377750397,0.34270456433296204,0.8934248685836792,0.8934319019317627,0.35204994678497314,0.35203585028648376
18,77354,-1,0.8943902254104614,0.8943908214569092,0.3426889479160309,0.34269264340400696,0.8934544920921326,0.8934608697891235,0.3520369231700897,0.3520248234272003
19,135192,-1,0.8943784236907959,0.8943783044815063,0.3426959812641144,0.3427017331123352,0.8934782147407532,0.8934839367866516,0.35203540325164795,0.35202521085739136
20,141032,-1,0.8943902254104614,0.8943895101547241,0.3426932692527771,0.3427005708217621,0.8934663534164429,0.8934714198112488,0.35204508900642395,0.3520340025424957
