,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after,accuracy_before_eval,accuracy_after_eval,loss_before_eval,loss_after_eval
0,136339,-1,0.9250213503837585,0.9250213503837585,0.3080238699913025,0.3080238699913025,0.9676159024238586,0.9676159024238586,1.4502811431884766,1.4502811431884766
1,86848,-1,0.9250568747520447,0.9250564575195312,0.3086388111114502,0.30863845348358154,0.9676573276519775,0.9676571488380432,1.4497418403625488,1.4497487545013428
2,84965,-1,0.9249917268753052,0.9249908328056335,0.3086388409137726,0.30864033102989197,0.9676277041435242,0.9676273465156555,1.4503358602523804,1.4503509998321533
3,91552,-1,0.9250628352165222,0.9250614643096924,0.30863359570503235,0.3086369037628174,0.967592179775238,0.9675915837287903,1.4499046802520752,1.449927568435669
4,42170,-1,0.9249088168144226,0.9249129295349121,0.3086509108543396,0.30864977836608887,0.9676336646080017,0.9676328301429749,1.4482529163360596,1.4482840299606323
5,83733,-1,0.9248791933059692,0.9248828887939453,0.3080766201019287,0.30807632207870483,0.9676099419593811,0.9676089286804199,1.4503082036972046,1.4503480195999146
6,109729,-1,0.9248200058937073,0.9248291254043579,0.3080964684486389,0.30808907747268677,0.9676218032836914,0.9676206111907959,1.4498580694198608,1.4499059915542603
7,161007,-1,0.9247488975524902,0.9247635006904602,0.3080916404724121,0.3080741763114929,0.9676159024238586,0.967614471912384,1.4498003721237183,1.4498567581176758
8,162030,-1,0.9247903823852539,0.9248045682907104,0.30866900086402893,0.30865278840065,0.9675862789154053,0.9675906300544739,1.4508782625198364,1.4509310722351074
9,96917,-1,0.9247666597366333,0.9247804284095764,0.30868610739707947,0.30866938829421997,0.967592179775238,0.9675963521003723,1.4509186744689941,1.4509789943695068
10,78744,-1,0.9248377680778503,0.9248510599136353,0.30867865681648254,0.3086634874343872,0.9675566554069519,0.9675606489181519,1.4515358209609985,1.4516044855117798
11,104914,-1,0.924808144569397,0.9248209595680237,0.30866312980651855,0.3086481988430023,0.967592179775238,0.9675959348678589,1.4514378309249878,1.4515149593353271
12,160383,-1,0.92482590675354,0.9248383045196533,0.3086240291595459,0.3086104393005371,0.9676277041435242,0.9676312804222107,1.4520699977874756,1.4521554708480835
13,33867,-1,0.9248851537704468,0.9248970746994019,0.3086223900318146,0.3086105287075043,0.9676454663276672,0.9676488637924194,1.4515281915664673,1.4516218900680542
14,64256,-1,0.9248969554901123,0.924908459186554,0.30859375,0.30858364701271057,0.9676632285118103,0.9676664471626282,1.451572060585022,1.4516738653182983
15,37602,-1,0.9249147772789001,0.9249258637428284,0.3080652356147766,0.3080558478832245,0.967592179775238,0.9675952196121216,1.452107548713684,1.4522165060043335
16,164934,-1,0.9248791933059692,0.924889862537384,0.3080548942089081,0.30804502964019775,0.9676218032836914,0.9676246643066406,1.4530285596847534,1.4531455039978027
17,13609,-1,0.9248732924461365,0.9248834848403931,0.3080478310585022,0.30803927779197693,0.9676277041435242,0.9676303863525391,1.4524363279342651,1.452561616897583
18,77354,-1,0.9248555302619934,0.9248652458190918,0.3080219626426697,0.3080153167247772,0.9676573276519775,0.9676597714424133,1.4524730443954468,1.4526070356369019
19,135192,-1,0.9248140454292297,0.9248233437538147,0.3080418109893799,0.3080368638038635,0.9676159024238586,0.9676181077957153,1.4514381885528564,1.4515806436538696
20,141032,-1,0.9247903823852539,0.9247992038726807,0.3080606162548065,0.3080556094646454,0.9676099419593811,0.9676119685173035,1.4524307250976562,1.4525808095932007
21,75069,-1,0.9248200058937073,0.9248284101486206,0.30805453658103943,0.30804967880249023,0.9676277041435242,0.967629611492157,1.452919840812683,1.4530785083770752
22,15455,-1,0.9247726202011108,0.924780547618866,0.30806979537010193,0.30806535482406616,0.9676218032836914,0.9676234722137451,1.4529449939727783,1.4531118869781494
23,167925,-1,0.9247962832450867,0.9248037934303284,0.3080838620662689,0.3080793619155884,0.9676040410995483,0.9676055312156677,1.4514080286026,1.4515835046768188
24,3710,-1,0.9248377680778503,0.9248507618904114,0.3081125020980835,0.3080807030200958,0.9676514267921448,0.9676526784896851,1.4535409212112427,1.4537224769592285
25,146181,-1,0.9248436689376831,0.9248561859130859,0.3081011176109314,0.30807116627693176,0.9676159024238586,0.9676169753074646,1.454534888267517,1.4547252655029297
26,4904,-1,0.92482590675354,0.9248379468917847,0.3080982267856598,0.30806946754455566,0.9676277041435242,0.9676285982131958,1.4535096883773804,1.4537084102630615
27,95602,-1,0.9247607588768005,0.9247723817825317,0.30861029028892517,0.30858132243156433,0.9676810503005981,0.9676817059516907,1.4536116123199463,1.4538179636001587
28,49094,-1,0.9247844815254211,0.9247956871986389,0.3086094558238983,0.30858007073402405,0.9676810503005981,0.9676815867424011,1.452122688293457,1.452337622642517
29,63619,-1,0.9248614311218262,0.9248722195625305,0.3091665208339691,0.3091388940811157,0.9676514267921448,0.9676517844200134,1.4536768198013306,1.4539002180099487
30,1612,-1,0.9248673915863037,0.9248777031898499,0.3091564178466797,0.30912989377975464,0.9676632285118103,0.9676634073257446,1.4526646137237549,1.4528958797454834
31,99365,-1,0.9249503016471863,0.9249601364135742,0.30976563692092896,0.3097405731678009,0.9676928520202637,0.9676927924156189,1.4526511430740356,1.4528908729553223
32,137335,-1,0.924956202507019,0.9249656200408936,0.30974987149238586,0.30972668528556824,0.9676928520202637,0.9676926136016846,1.4515291452407837,1.4517773389816284
33,161655,-1,0.9249206781387329,0.9249355792999268,0.3097617030143738,0.30973443388938904,0.9676691889762878,0.9676687121391296,1.4518122673034668,1.4520689249038696
34,163797,-1,0.9248910546302795,0.92490553855896,0.3097696900367737,0.30974212288856506,0.9676988124847412,0.9676982164382935,1.4524036645889282,1.4526691436767578
35,104652,-1,0.9248614311218262,0.9248813986778259,0.3097899854183197,0.3097569942474365,0.967722475528717,0.967721700668335,1.4513134956359863,1.4515879154205322
36,82726,-1,0.9248614311218262,0.9248809218406677,0.3097948133945465,0.3097623884677887,0.9677520990371704,0.9677510857582092,1.450297236442566,1.4505789279937744
37,99469,-1,0.9248436689376831,0.9248626828193665,0.30979496240615845,0.30976325273513794,0.9677343368530273,0.9677331447601318,1.4491389989852905,1.4494274854660034
38,168437,-1,0.9248318076133728,0.9248504042625427,0.30973225831985474,0.30970245599746704,0.9677461981773376,0.967744767665863,1.4508002996444702,1.4510971307754517
39,23131,-1,0.9248673915863037,0.9248914122581482,0.3097490668296814,0.30971431732177734,0.9676869511604309,0.967685341835022,1.449678897857666,1.4499841928482056
40,87515,-1,0.9248673915863037,0.9248910546302795,0.3097362816333771,0.30970343947410583,0.9677343368530273,0.9677326083183289,1.4501689672470093,1.45048189163208
41,34865,-1,0.9248140454292297,0.9248372316360474,0.30923837423324585,0.30920714139938354,0.9677165746688843,0.9677146077156067,1.4496504068374634,1.4499719142913818
42,115988,-1,0.9248140454292297,0.9248368144035339,0.30925512313842773,0.3092246651649475,0.9677165746688843,0.9677144289016724,1.4501320123672485,1.4504622220993042
43,118313,-1,0.9247607588768005,0.9247889518737793,0.3097848892211914,0.3097418546676636,0.9676810503005981,0.9676786661148071,1.4475245475769043,1.4478603601455688
44,143002,-1,0.9248140454292297,0.9248418211936951,0.30978846549987793,0.30974721908569336,0.9676988124847412,0.9676962494850159,1.4481974840164185,1.4485422372817993
45,39655,-1,0.9248496294021606,0.924876868724823,0.30980202555656433,0.3097604215145111,0.967704713344574,0.9677019715309143,1.4504574537277222,1.4508107900619507
46,6974,-1,0.9247726202011108,0.9247995018959045,0.30980557203292847,0.3097653090953827,0.9676691889762878,0.9676662683486938,1.4531668424606323,1.4535293579101562
