,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after,accuracy_before_eval,accuracy_after_eval,loss_before_eval,loss_after_eval
0,136339,-1,0.9315893650054932,0.9315893650054932,0.18810875713825226,0.18810875713825226,0.9315893650054932,0.9315893650054932,0.18810875713825226,0.18810875713825226
1,86848,-1,0.9327679872512817,0.9327675700187683,0.18622227013111115,0.1862206906080246,0.9327679872512817,0.9327675700187683,0.18622227013111115,0.1862206906080246
2,84965,-1,0.9325073957443237,0.9325065612792969,0.18492448329925537,0.18492305278778076,0.9325073957443237,0.9325065612792969,0.18492448329925537,0.18492305278778076
3,91552,-1,0.9321994185447693,0.9322040677070618,0.1854802966117859,0.1854722499847412,0.9321994185447693,0.9322040677070618,0.1854802966117859,0.1854722499847412
4,42170,-1,0.9300140142440796,0.9300241470336914,0.18963870406150818,0.1896192878484726,0.9300140142440796,0.9300241470336914,0.18963870406150818,0.1896192878484726
5,83733,-1,0.9236473441123962,0.9236568808555603,0.19741985201835632,0.19740648567676544,0.9236473441123962,0.9236568808555603,0.19741985201835632,0.19740648567676544
6,109729,-1,0.9252760410308838,0.9252851605415344,0.1966198980808258,0.1966029554605484,0.9252760410308838,0.9252851605415344,0.1966198980808258,0.1966029554605484
7,161007,-1,0.9264190793037415,0.9264218807220459,0.19292393326759338,0.1929105520248413,0.9264190793037415,0.9264218807220459,0.19292393326759338,0.1929105520248413
8,162030,-1,0.9262532591819763,0.9262616038322449,0.19390873610973358,0.19389501214027405,0.9262532591819763,0.9262616038322449,0.19390873610973358,0.19389501214027405
9,96917,-1,0.9308076500892639,0.9308276176452637,0.19138158857822418,0.19133596122264862,0.9308076500892639,0.9308276176452637,0.19138158857822418,0.19133596122264862
10,78744,-1,0.9321342706680298,0.9321538805961609,0.18662597239017487,0.18657368421554565,0.9321342706680298,0.9321538805961609,0.18662597239017487,0.18657368421554565
11,104914,-1,0.929931104183197,0.9299560785293579,0.18902936577796936,0.18896140158176422,0.929931104183197,0.9299560785293579,0.18902936577796936,0.18896140158176422
12,160383,-1,0.9343137145042419,0.9343386292457581,0.18105751276016235,0.18099787831306458,0.9343137145042419,0.9343386292457581,0.18105751276016235,0.18099787831306458
13,33867,-1,0.9329219460487366,0.9329404234886169,0.18309761583805084,0.18305031955242157,0.9329219460487366,0.9329404234886169,0.18309761583805084,0.18305031955242157
14,64256,-1,0.9361674785614014,0.9361976385116577,0.17806217074394226,0.17799685895442963,0.9361674785614014,0.9361976385116577,0.17806217074394226,0.17799685895442963
15,37602,-1,0.930695116519928,0.9307363033294678,0.1872415989637375,0.18714776635169983,0.930695116519928,0.9307363033294678,0.1872415989637375,0.18714776635169983
16,164934,-1,0.9358950257301331,0.9359244704246521,0.17918314039707184,0.1791241466999054,0.9358950257301331,0.9359244704246521,0.17918314039707184,0.1791241466999054
17,13609,-1,0.9338458776473999,0.9338747262954712,0.18200458586215973,0.1819564253091812,0.9338458776473999,0.9338747262954712,0.18200458586215973,0.1819564253091812
18,77354,-1,0.9362326264381409,0.9362553954124451,0.17914745211601257,0.1790781170129776,0.9362326264381409,0.9362553954124451,0.17914745211601257,0.1790781170129776
19,135192,-1,0.9324718713760376,0.9325175285339355,0.1859525442123413,0.18585751950740814,0.9324718713760376,0.9325175285339355,0.1859525442123413,0.18585751950740814
20,141032,-1,0.9354212284088135,0.9354431629180908,0.1819089949131012,0.18185639381408691,0.9354212284088135,0.9354431629180908,0.1819089949131012,0.18185639381408691
21,75069,-1,0.9374881982803345,0.9375100135803223,0.17684908211231232,0.17679813504219055,0.9374881982803345,0.9375100135803223,0.17684908211231232,0.17679813504219055
22,15455,-1,0.9365642666816711,0.936597466468811,0.1797582507133484,0.17968878149986267,0.9365642666816711,0.936597466468811,0.1797582507133484,0.17968878149986267
