,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after
0,26320,0.05489520728588104,0.8644299507141113,0.8644299507141113,0.3679825961589813,0.3679825961589813
1,40063,0.05416807159781456,0.864454984664917,0.8644592761993408,0.36804914474487305,0.3679763674736023
2,103855,0.053328875452280045,0.8644599914550781,0.8644686341285706,0.367716521024704,0.36756840348243713
3,135373,0.0527350939810276,0.8644749522209167,0.8644879460334778,0.3677978515625,0.36756253242492676
4,57873,0.050566282123327255,0.8644449710845947,0.8644622564315796,0.36828863620758057,0.3679860234260559
5,134398,0.05043160542845726,0.8644499778747559,0.8644716143608093,0.3683585822582245,0.36798810958862305
6,175993,0.050291772931814194,0.8644599914550781,0.8644859194755554,0.36842623353004456,0.3679913580417633
7,81723,0.04937860742211342,0.8644749522209167,0.8645052313804626,0.3684720993041992,0.36798095703125
8,115985,0.04894119128584862,0.8644749522209167,0.8645095825195312,0.36853280663490295,0.3679858148097992
9,189021,0.04766850173473358,0.8644649982452393,0.8645039200782776,0.36814773082733154,0.3675367832183838
10,144575,0.04644797369837761,0.8644299507141113,0.8644732236862183,0.3682142496109009,0.36753806471824646
11,67710,0.04619890823960304,0.8644099831581116,0.8644575476646423,0.3682945966720581,0.3675478994846344
12,98990,0.04604436457157135,0.8644149899482727,0.8644668459892273,0.36835843324661255,0.36755481362342834
13,24324,0.045867323875427246,0.8644349575042725,0.8644911646842957,0.36842113733291626,0.36756008863449097
14,97735,0.0453132688999176,0.8644299507141113,0.8644905090332031,0.3684777319431305,0.367563396692276
15,64257,0.04524419084191322,0.864454984664917,0.8645198345184326,0.36811646819114685,0.3671460449695587
16,33138,0.044953424483537674,0.8644299507141113,0.8644991517066956,0.36815983057022095,0.36714842915534973
17,32615,0.04482337832450867,0.8644049763679504,0.8644784688949585,0.36818355321884155,0.3671371042728424
18,190045,0.044665973633527756,0.8644049763679504,0.8644828200340271,0.36864393949508667,0.3675518035888672
19,37004,0.0445089228451252,0.8644099831581116,0.8644921183586121,0.36828914284706116,0.3671421408653259
20,65403,0.04389925301074982,0.8643649816513062,0.8644514679908752,0.36834990978240967,0.36714738607406616
21,122930,0.043397556990385056,0.8643849492073059,0.8644757866859436,0.36880943179130554,0.3675651252269745
22,49137,0.04326644912362099,0.8643849492073059,0.8644800782203674,0.36885976791381836,0.3675696849822998
23,7783,0.04295198246836662,0.8643699884414673,0.8644694089889526,0.3689211905002594,0.36757564544677734
24,77684,0.04284892603754997,0.8643699884414673,0.8644737601280212,0.3689752519130707,0.36758098006248474
25,4097,0.04250818490982056,0.8643449544906616,0.8644530773162842,0.36904507875442505,0.36758774518966675
26,152237,0.04223911836743355,0.8643549680709839,0.8644673824310303,0.3691166043281555,0.36760783195495605
27,199723,0.04162586107850075,0.8643649816513062,0.8644817471504211,0.36916908621788025,0.36760953068733215
28,76339,0.04139120504260063,0.8643499612808228,0.8644710183143616,0.36920857429504395,0.3676072061061859
29,9672,0.041335396468639374,0.8643149733543396,0.864440381526947,0.36922428011894226,0.36760249733924866
30,110910,0.04133056849241257,0.864329993724823,0.8644596934318542,0.3692784011363983,0.36761674284935
31,32798,0.04108690470457077,0.8643350005149841,0.8644689917564392,0.369314044713974,0.36761465668678284
32,69177,0.04101095348596573,0.8643350005149841,0.8644733428955078,0.3693447709083557,0.3676031231880188
33,188532,0.04099273681640625,0.864329993724823,0.8644726276397705,0.3694184422492981,0.36762210726737976
34,76460,0.04097651317715645,0.8643099665641785,0.8644569516181946,0.3694576323032379,0.3676191568374634
35,59437,0.04096503183245659,0.8642500042915344,0.8644012808799744,0.36948758363723755,0.36760276556015015
36,77525,0.040768831968307495,0.8642149567604065,0.864370584487915,0.36953431367874146,0.3676010072231293
37,9217,0.040750399231910706,0.8642449975013733,0.8644049167633057,0.3691680431365967,0.3671850562095642
38,88938,0.04051198437809944,0.8642449975013733,0.8644092679023743,0.3692167103290558,0.36718249320983887
39,382,0.040217429399490356,0.8642099499702454,0.8643785715103149,0.3696630299091339,0.36760154366493225
40,81053,0.040181584656238556,0.8642099499702454,0.8643829226493835,0.36930444836616516,0.36719387769699097
41,156404,0.040074028074741364,0.864234983921051,0.864412248134613,0.36934441328048706,0.36719200015068054
42,146741,0.04006652161478996,0.8642699718475342,0.86445152759552,0.36940065026283264,0.3671986162662506
43,35789,0.039986878633499146,0.8642500042915344,0.8644358515739441,0.3694506883621216,0.3672102391719818
44,22810,0.0399194099009037,0.8642399907112122,0.8644301891326904,0.3695008456707001,0.3672163486480713
45,17067,0.03991787135601044,0.8642299771308899,0.8644245266914368,0.3695579469203949,0.36722174286842346
46,149739,0.0398515909910202,0.8642500042915344,0.8644488453865051,0.3696397542953491,0.3672402501106262
47,4887,0.039835553616285324,0.8642799854278564,0.8644831776618958,0.3696700632572174,0.36723655462265015
48,158149,0.03979749232530594,0.8642199635505676,0.8644275069236755,0.36971279978752136,0.36723512411117554
49,174259,0.03971818462014198,0.8642399907112122,0.8644518256187439,0.36977171897888184,0.3672429025173187
50,129679,0.0395544171333313,0.8641999959945679,0.8644161224365234,0.36983758211135864,0.3672534227371216
51,14618,0.03944297507405281,0.8641799688339233,0.8644004464149475,0.3698868155479431,0.3672594428062439
52,153078,0.03929542377591133,0.8641699552536011,0.8643947839736938,0.36992889642715454,0.36726775765419006
53,52042,0.039278898388147354,0.8641849756240845,0.8644140958786011,0.36998748779296875,0.36727914214134216
54,1595,0.03920876607298851,0.8641949892044067,0.8644284009933472,0.36962729692459106,0.36686816811561584
55,45108,0.03914457932114601,0.8642299771308899,0.8644677400588989,0.36966830492019653,0.3668766915798187
56,148877,0.03907875344157219,0.8642999529838562,0.8645420670509338,0.3701079189777374,0.36729636788368225
57,45514,0.03906989470124245,0.864264965057373,0.8645114302635193,0.3701510727405548,0.36730077862739563
58,148114,0.03906532749533653,0.8642849922180176,0.8645357489585876,0.3701668679714203,0.3672843277454376
59,64539,0.0390520803630352,0.8642449975013733,0.8645000457763672,0.37014827132225037,0.3672430217266083
60,55561,0.039000581949949265,0.8642249703407288,0.8644843697547913,0.3701995313167572,0.3672453463077545
61,177476,0.03899235278367996,0.8641849756240845,0.8644486665725708,0.3702077269554138,0.36722123622894287
62,84604,0.03885672986507416,0.8641499876976013,0.8644179701805115,0.37025171518325806,0.36722102761268616
