,perturbs,iters,loss
0,0,0,3.9725873470306396
1,0,1,3.870129346847534
2,0,2,3.7656044960021973
3,0,3,3.6621406078338623
4,0,4,3.564145565032959
5,0,5,3.475522041320801
6,0,6,3.389129877090454
7,0,7,3.3045029640197754
8,0,8,3.2270474433898926
9,0,9,3.1458563804626465
10,0,10,3.070208787918091
11,0,11,2.997072696685791
12,0,12,2.9226062297821045
13,0,13,2.8548085689544678
14,0,14,2.7860968112945557
15,0,15,2.7193970680236816
16,0,16,2.6542415618896484
17,0,17,2.5956482887268066
18,0,18,2.5389959812164307
19,0,19,2.486759901046753
20,0,20,2.432265043258667
21,0,21,2.3808541297912598
22,0,22,2.325847625732422
23,0,23,2.275170087814331
24,0,24,2.225069046020508
25,0,25,2.1783931255340576
26,0,26,2.130955457687378
27,0,27,2.0911865234375
28,0,28,2.05010986328125
29,0,29,2.010697603225708
30,0,30,1.9742478132247925
31,0,31,1.9356461763381958
32,0,32,1.8961130380630493
33,0,33,1.8581973314285278
34,0,34,1.8235328197479248
35,0,35,1.7899829149246216
36,0,36,1.7562576532363892
37,0,37,1.7232524156570435
38,0,38,1.6921452283859253
39,0,39,1.662474274635315
40,0,40,1.6317570209503174
41,0,41,1.6033074855804443
42,0,42,1.575453758239746
43,0,43,1.547300934791565
44,0,44,1.5180439949035645
45,0,45,1.4901459217071533
46,0,46,1.4636250734329224
47,0,47,1.4401189088821411
48,0,48,1.412493348121643
49,0,49,1.388303279876709
50,0,50,1.3666645288467407
51,0,51,1.3446658849716187
52,0,52,1.32185959815979
53,0,53,1.3020087480545044
54,0,54,1.2813324928283691
55,0,55,1.2610503435134888
56,0,56,1.2399449348449707
57,0,57,1.2221890687942505
58,0,58,1.2048165798187256
59,0,59,1.1861363649368286
60,0,60,1.1674246788024902
61,0,61,1.149507761001587
62,0,62,1.1332110166549683
63,0,63,1.1155742406845093
64,0,64,1.099511981010437
65,0,65,1.0833909511566162
66,0,66,1.067601203918457
67,0,67,1.053824543952942
68,0,68,1.039910078048706
69,0,69,1.0233715772628784
70,0,70,1.0079553127288818
71,0,71,0.9945289492607117
72,0,72,0.9818079471588135
73,0,73,0.9693460464477539
74,0,74,0.956746518611908
75,0,75,0.945242166519165
76,0,76,0.9327329397201538
77,0,77,0.9196446537971497
78,0,78,0.9080638885498047
79,0,79,0.8971229195594788
80,0,80,0.8855738639831543
81,0,81,0.874674916267395
82,0,82,0.8631702065467834
83,0,83,0.8522935509681702
84,0,84,0.8412012457847595
85,0,85,0.8311603665351868
86,0,86,0.8208837509155273
87,0,87,0.8108170032501221
88,0,88,0.8017599582672119
89,0,89,0.7929054498672485
90,0,90,0.7842332124710083
91,0,91,0.7757218480110168
92,0,92,0.7677980065345764
93,0,93,0.7596324682235718
94,0,94,0.7507792115211487
95,0,95,0.7433484792709351
96,0,96,0.7356582880020142
97,0,97,0.728105902671814
98,0,98,0.7202808260917664
99,0,99,0.7125786542892456
100,1,0,3.972752809524536
101,1,1,3.8702943325042725
102,1,2,3.7657690048217773
103,1,3,3.662304401397705
104,1,4,3.5643093585968018
105,1,5,3.475684881210327
106,1,6,3.389292001724243
107,1,7,3.3046648502349854
108,1,8,3.227208375930786
109,1,9,3.146017074584961
110,1,10,3.070368766784668
111,1,11,2.997232437133789
112,1,12,2.922765016555786
113,1,13,2.8549671173095703
114,1,14,2.7862548828125
115,1,15,2.7195544242858887
116,1,16,2.6543984413146973
117,1,17,2.5958046913146973
118,1,18,2.539151906967163
119,1,19,2.486915349960327
120,1,20,2.432420015335083
121,1,21,2.3810086250305176
122,1,22,2.3260016441345215
123,1,23,2.2753238677978516
124,1,24,2.22522234916687
125,1,25,2.1785454750061035
126,1,26,2.131107807159424
127,1,27,2.0913383960723877
128,1,28,2.0502612590789795
129,1,29,2.0108487606048584
130,1,30,1.9743982553482056
131,1,31,1.9357961416244507
132,1,32,1.896262764930725
133,1,33,1.8583462238311768
134,1,34,1.8236817121505737
135,1,35,1.7901313304901123
136,1,36,1.7564057111740112
137,1,37,1.7233997583389282
138,1,38,1.692292332649231
139,1,39,1.662621021270752
140,1,40,1.6319034099578857
141,1,41,1.6034533977508545
142,1,42,1.5755990743637085
143,1,43,1.5474458932876587
144,1,44,1.518188714981079
145,1,45,1.4902896881103516
146,1,46,1.463768720626831
147,1,47,1.440261960029602
148,1,48,1.412636160850525
149,1,49,1.3884453773498535
150,1,50,1.3668060302734375
151,1,51,1.3448070287704468
152,1,52,1.3220001459121704
153,1,53,1.302148699760437
154,1,54,1.281472086906433
155,1,55,1.261189341545105
156,1,56,1.2400834560394287
157,1,57,1.2223268747329712
158,1,58,1.2049540281295776
159,1,59,1.1862727403640747
160,1,60,1.1675604581832886
161,1,61,1.1496427059173584
162,1,62,1.1333452463150024
163,1,63,1.1157076358795166
164,1,64,1.099644660949707
165,1,65,1.083523154258728
166,1,66,1.0677324533462524
167,1,67,1.053955078125
168,1,68,1.040040135383606
169,1,69,1.023500919342041
170,1,70,1.0080839395523071
171,1,71,0.9946568608283997
172,1,72,0.9819352030754089
173,1,73,0.9694729447364807
174,1,74,0.9568727016448975
175,1,75,0.9453676342964172
176,1,76,0.9328578114509583
177,1,77,0.9197689890861511
178,1,78,0.9081876277923584
179,1,79,0.8972460627555847
180,1,80,0.8856965899467468
181,1,81,0.8747969269752502
182,1,82,0.8632919192314148
183,1,83,0.8524149060249329
184,1,84,0.8413217067718506
185,1,85,0.8312802910804749
186,1,86,0.821003258228302
187,1,87,0.810935914516449
188,1,88,0.8018783926963806
189,1,89,0.793023407459259
190,1,90,0.7843506336212158
191,1,91,0.7758387327194214
192,1,92,0.7679145336151123
193,1,93,0.7597483992576599
194,1,94,0.7508944272994995
195,1,95,0.7434635758399963
196,1,96,0.7357726097106934
197,1,97,0.7282208204269409
198,1,98,0.7203943729400635
199,1,99,0.7126915454864502
200,2,0,3.9729042053222656
201,2,1,3.870445489883423
202,2,2,3.7659192085266113
203,2,3,3.662454605102539
204,2,4,3.5644586086273193
205,2,5,3.4758338928222656
206,2,6,3.3894407749176025
207,2,7,3.3048131465911865
208,2,8,3.227356195449829
209,2,9,3.1461641788482666
210,2,10,3.0705156326293945
211,2,11,2.9973785877227783
212,2,12,2.9229109287261963
213,2,13,2.8551127910614014
214,2,14,2.7863996028900146
215,2,15,2.7196993827819824
216,2,16,2.654540538787842
217,2,17,2.5959484577178955
218,2,18,2.539295196533203
219,2,19,2.487058162689209
220,2,20,2.4325621128082275
221,2,21,2.3811495304107666
222,2,22,2.3261427879333496
223,2,23,2.2754642963409424
224,2,24,2.2253611087799072
225,2,25,2.178684949874878
226,2,26,2.1312458515167236
227,2,27,2.0914764404296875
228,2,28,2.0503990650177
229,2,29,2.01098370552063
230,2,30,1.974534034729004
231,2,31,1.935930609703064
232,2,32,1.8963971138000488
233,2,33,1.858479619026184
234,2,34,1.8238142728805542
235,2,35,1.7902640104293823
236,2,36,1.7565367221832275
237,2,37,1.723530888557434
238,2,38,1.6924222707748413
239,2,39,1.6627506017684937
240,2,40,1.6320327520370483
241,2,41,1.603582739830017
242,2,42,1.5757274627685547
243,2,43,1.5475735664367676
244,2,44,1.5183159112930298
245,2,45,1.4904160499572754
246,2,46,1.4638948440551758
247,2,47,1.4403880834579468
248,2,48,1.412760853767395
249,2,49,1.3885703086853027
250,2,50,1.3669304847717285
251,2,51,1.3449312448501587
252,2,52,1.322122573852539
253,2,53,1.3022722005844116
254,2,54,1.2815947532653809
255,2,55,1.2613118886947632
256,2,56,1.2402057647705078
257,2,57,1.222448706626892
258,2,58,1.2050756216049194
259,2,59,1.1863939762115479
260,2,60,1.1676815748214722
261,2,61,1.1497632265090942
262,2,62,1.1334657669067383
263,2,63,1.1158276796340942
264,2,64,1.0997647047042847
265,2,65,1.0836416482925415
266,2,66,1.0678516626358032
267,2,67,1.0540741682052612
268,2,68,1.0401592254638672
269,2,69,1.023619294166565
270,2,70,1.0082015991210938
271,2,71,0.9947746396064758
272,2,72,0.9820528030395508
273,2,73,0.9695901274681091
274,2,74,0.956989586353302
275,2,75,0.9454842805862427
276,2,76,0.932974636554718
277,2,77,0.9198848009109497
278,2,78,0.9083035588264465
279,2,79,0.8973609209060669
280,2,80,0.8858119249343872
281,2,81,0.8749117851257324
282,2,82,0.8634065389633179
283,2,83,0.8525295257568359
284,2,84,0.8414360880851746
285,2,85,0.8313946723937988
286,2,86,0.8211163878440857
287,2,87,0.8110490441322327
288,2,88,0.801990270614624
289,2,89,0.7931361794471741
290,2,90,0.7844632863998413
291,2,91,0.775951087474823
292,2,92,0.7680265307426453
293,2,93,0.7598608136177063
294,2,94,0.7510059475898743
295,2,95,0.7435743808746338
296,2,96,0.7358844876289368
297,2,97,0.7283315658569336
298,2,98,0.720504641532898
299,2,99,0.7128015160560608
300,3,0,3.9730641841888428
301,3,1,3.870604991912842
302,3,2,3.7660787105560303
303,3,3,3.6626129150390625
304,3,4,3.5646166801452637
305,3,5,3.475991725921631
306,3,6,3.3895981311798096
307,3,7,3.304969549179077
308,3,8,3.2275121212005615
309,3,9,3.146320343017578
310,3,10,3.0706706047058105
311,3,11,2.9975333213806152
312,3,12,2.923064947128296
313,3,13,2.8552660942077637
314,3,14,2.786553144454956
315,3,15,2.7198522090911865
316,3,16,2.6546926498413086
317,3,17,2.596100091934204
318,3,18,2.5394465923309326
319,3,19,2.487208843231201
320,3,20,2.4327125549316406
321,3,21,2.3812997341156006
322,3,22,2.3262925148010254
323,3,23,2.275613784790039
324,3,24,2.2255094051361084
325,3,25,2.178833484649658
326,3,26,2.1313939094543457
327,3,27,2.0916240215301514
328,3,28,2.0505459308624268
329,3,29,2.0111303329467773
330,3,30,1.9746803045272827
331,3,31,1.9360761642456055
332,3,32,1.8965421915054321
333,3,33,1.8586244583129883
334,3,34,1.8239587545394897
335,3,35,1.7904082536697388
336,3,36,1.7566803693771362
337,3,37,1.7236742973327637
338,3,38,1.6925653219223022
339,3,39,1.6628934144973755
340,3,40,1.6321748495101929
341,3,41,1.603724479675293
342,3,42,1.5758689641952515
343,3,43,1.5477145910263062
344,3,44,1.5184565782546997
345,3,45,1.490556240081787
346,3,46,1.4640346765518188
347,3,47,1.4405274391174316
348,3,48,1.4128999710083008
349,3,49,1.3882883787155151
350,3,50,1.3670679330825806
351,3,51,1.3450684547424316
352,3,52,1.3222590684890747
353,3,53,1.302408218383789
354,3,54,1.2817306518554688
355,3,55,1.2614469528198242
356,3,56,1.240340232849121
357,3,57,1.222582459449768
358,3,58,1.2052124738693237
359,3,59,1.1865233182907104
360,3,60,1.167813777923584
361,3,61,1.1498948335647583
362,3,62,1.1335968971252441
363,3,63,1.1159580945968628
364,3,64,1.0998927354812622
365,3,65,1.0837708711624146
366,3,66,1.0679806470870972
367,3,67,1.0542011260986328
368,3,68,1.040285587310791
369,3,69,1.0237460136413574
370,3,70,1.0083277225494385
371,3,71,0.9948992729187012
372,3,72,0.9821780920028687
373,3,73,0.9697149991989136
374,3,74,0.9571133852005005
375,3,75,0.9456082582473755
376,3,76,0.933098316192627
377,3,77,0.9200075268745422
378,3,78,0.9084259271621704
379,3,79,0.8974828124046326
380,3,80,0.8859330415725708
381,3,81,0.8750326633453369
382,3,82,0.8635267019271851
383,3,83,0.8526495695114136
384,3,84,0.8415554761886597
385,3,85,0.8315136432647705
386,3,86,0.8212351202964783
387,3,87,0.8111672401428223
388,3,88,0.8021079301834106
389,3,89,0.7932532429695129
390,3,90,0.7845798134803772
391,3,91,0.7760669589042664
392,3,92,0.7681423425674438
393,3,93,0.7599760890007019
394,3,94,0.7511208653450012
395,3,95,0.7436888813972473
396,3,96,0.7359987497329712
397,3,97,0.7284449934959412
398,3,98,0.720617949962616
399,3,99,0.7129143476486206
400,4,0,3.9732048511505127
401,4,1,3.8707449436187744
402,4,2,3.7662179470062256
403,4,3,3.662752151489258
404,4,4,3.5647552013397217
405,4,5,3.4761312007904053
406,4,6,3.389734983444214
407,4,7,3.3051061630249023
408,4,8,3.227647304534912
409,4,9,3.1464548110961914
410,4,10,3.070805311203003
411,4,11,2.997666597366333
412,4,12,2.9231975078582764
413,4,13,2.855397939682007
414,4,14,2.786684036254883
415,4,15,2.719982862472534
416,4,16,2.654822826385498
417,4,17,2.5962295532226562
418,4,18,2.5395755767822266
419,4,19,2.487337112426758
420,4,20,2.432839870452881
421,4,21,2.3814265727996826
422,4,22,2.32641863822937
423,4,23,2.2757396697998047
424,4,24,2.225635290145874
425,4,25,2.178957939147949
426,4,26,2.1315181255340576
427,4,27,2.091747522354126
428,4,28,2.0506694316864014
429,4,29,2.0112524032592773
430,4,30,1.9748024940490723
431,4,31,1.9361977577209473
432,4,32,1.8966635465621948
433,4,33,1.8587449789047241
434,4,34,1.824078917503357
435,4,35,1.790527582168579
436,4,36,1.7567996978759766
437,4,37,1.7237927913665771
