 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,85.087,80.679,84.8376,80.7236,85.087,80.679,84.8376,80.7236
2000,83.9613,79.6687,85.4764,80.4809,84.8273,80.6419,85.1723,80.4165
4000,83.628,79.6984,85.0333,79.3294,85.0027,80.4487,85.4984,79.5894
6000,82.3661,79.2898,83.8933,78.4701,83.4729,78.9034,84.9971,78.3586
8000,81.0261,77.6999,83.3609,76.7415,84.3312,78.7301,84.5463,77.5959
10000,79.6946,76.0531,82.769,73.8763,83.9763,78.4503,84.3869,77.2864
Drop %,5.392400000000009,4.6259000000000015,2.0685999999999893,6.847300000000004,1.1107000000000085,2.2287000000000035,0.45069999999999766,3.4372000000000043
