 ,Meta-attack (AUROC),Meta-attack (AUROC),Meta-attack (AUROC),Meta-attack (AUROC),Baseline (AUROC),Baseline (AUROC),Baseline (AUROC),Baseline (AUROC)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,0.9164586810309095,0.8781273956135617,0.9275155924622264,0.8865709055002208,0.9164586810309095,0.8781273956135617,0.9275155924622264,0.8865709055002208
2000,0.9128028981306122,0.8745687245473727,0.9289647154691506,0.8802335692556793,0.9150153699554456,0.8746011002894852,0.929569934359628,0.8833617253814827
4000,0.906990307578122,0.8697623681369904,0.9277473468142928,0.8769214145527697,0.9130973056531272,0.8708058755703842,0.9328580558049862,0.87560936166037
6000,0.902076366749752,0.8648508733624455,0.9237012793062932,0.8736366100780137,0.9110500545870006,0.8675065821107895,0.9287007577860528,0.865160783327609
8000,0.896571777042405,0.8591611795299543,0.9154980029740712,0.8481394448260634,0.9091318945947072,0.8629889566262695,0.9257023458977812,0.859446943231441
10000,0.8913929759767308,0.8531081914528237,0.9135537540397872,0.8570605968794466,0.9076539172372315,0.8587033904126392,0.9228584593677048,0.8571702799175702
Drop %,2.506570505417871,2.5019204160737996,1.3961838422439143,2.9510308620774195,0.8804763793678005,1.9424005200922467,0.4657133094521537,2.9400625582650552
