 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,77.3147,76.6227,77.482,75.9639,77.3147,76.6227,77.482,75.9639
2000,75.7345,74.8075,77.1119,75.7733,77.351,76.38,75.9498,74.4756
4000,76.5928,76.224,76.8087,75.9565,77.2848,76.2884,76.5501,75.0427
6000,59.3462,57.797,76.4593,76.1645,77.2837,75.9961,76.8248,75.4315
8000,52.5468,48.9537,76.3414,74.0868,75.643,73.7797,77.5,75.2408
10000,67.249,65.989,75.9952,74.8892,77.3847,75.4711,77.4346,74.8421
Drop %,10.065700000000007,10.63369999999999,1.4868000000000023,1.0746999999999929,-0.06999999999999318,1.1515999999999877,0.04739999999999611,1.1217999999999932
