 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,86.813,77.2443,90.9152,76.1843,86.813,77.2443,90.9152,76.1843
2000,85.8374,76.2264,90.3032,74.5351,86.4675,76.2363,90.617,75.0551
4000,84.9144,74.8941,89.7249,73.6584,86.0776,75.6024,90.2985,74.1512
6000,84.2168,74.0373,89.3529,72.7124,85.8473,75.0551,90.1976,73.547
8000,83.5621,73.0096,88.8378,71.7986,85.6488,73.9828,89.9133,72.6802
10000,83.1841,72.5935,88.4995,70.7461,85.3626,73.3835,89.7099,71.9571
Drop %,3.6289000000000016,4.65079999999999,2.415700000000001,5.438199999999995,1.450400000000002,3.8607999999999976,1.205299999999994,4.227199999999996
