 ,Meta-attack (AUROC),Meta-attack (AUROC),Meta-attack (AUROC),Meta-attack (AUROC),Baseline (AUROC),Baseline (AUROC),Baseline (AUROC),Baseline (AUROC)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,0.9297892277597056,0.8844165840734017,0.9135366167309312,0.8743652298709583,0.9297892277597056,0.8844165840734017,0.9135366167309312,0.8743652298709583
2000,0.9188645231837564,0.8752260082920367,0.9081277705040004,0.8684476644914381,0.9274274455786912,0.8846864714685246,0.9117947165778156,0.869550603503263
4000,0.915097725108769,0.8744755985967323,0.9025909153122892,0.8614606042392425,0.92762901700824,0.8818351258525097,0.9110232485012149,0.8666528286148865
6000,0.902690340129586,0.8700886327952505,0.8977094149438325,0.8529172452283991,0.9151780214962764,0.8673468414209313,0.909756441096818,0.8636024900642755
8000,0.8895404126349153,0.8555637235660664,0.8923867416467698,0.845326198420097,0.9229998828482964,0.8688888204700456,0.9083713950251312,0.8592589458319022
10000,0.881924854567653,0.8466359832687308,0.8866691568514794,0.8392296464844708,0.9203546076980014,0.8681514768657084,0.9065387238085748,0.8551125975172955
Drop %,4.786437319205261,3.778060080467094,2.6867459879451827,3.513558338648748,0.9434620061704257,1.6265107207693363,0.6997892922356419,1.9252632353662813
