,edges,metagrad,attacker_accuracy_before,attacker_accuracy_after,eval_accuracy_before,eval_accuracy_after,attacker_loss_before,attacker_loss_after,eval_loss_before,eval_loss_after
0,23170,2.76797163678566e-06,0.4998749792575836,0.4998749792575836,0.4976999759674072,0.4976999759674072,0.7024635672569275,0.7024635672569275,4.011162281036377,4.011162281036377
1,109203,2.7564922220335575e-06,0.4998700022697449,0.49987247586250305,0.49770498275756836,0.4977024793624878,0.7024663686752319,0.7024648785591125,4.01066255569458,4.010682582855225
2,36281,2.71615203928377e-06,0.49986499547958374,0.4998700022697449,0.4976999759674072,0.4976999759674072,0.7024692296981812,0.7024660706520081,4.010663032531738,4.010700225830078
3,30990,2.7151190806762315e-06,0.4998599886894226,0.4998674988746643,0.4976949989795685,0.4976974427700043,0.7024718523025513,0.7024673223495483,4.010663986206055,4.010716438293457
4,63697,2.714917627599789e-06,0.4998549818992615,0.49986499547958374,0.4976999759674072,0.49769994616508484,0.7024745941162109,0.7024685740470886,4.010640621185303,4.01071310043335
5,10664,2.708114379856852e-06,0.49984997510910034,0.4998624920845032,0.4976949989795685,0.4976974427700043,0.7024773359298706,0.7024698257446289,4.010655403137207,4.010732650756836
6,8556,2.703708332774113e-06,0.4998449981212616,0.4998599886894226,0.49768999218940735,0.4976949095726013,0.7024799585342407,0.7024710774421692,4.010711193084717,4.0107526779174805
7,99365,2.6994734980689827e-06,0.49983999133110046,0.49985748529434204,0.4976849853992462,0.49769240617752075,0.7024827003479004,0.7024722099304199,4.010715961456299,4.010771751403809
8,138608,2.6930788408208173e-06,0.49983498454093933,0.4998549818992615,0.49768999218940735,0.4976949095726013,0.7024854421615601,0.7024734020233154,4.010672092437744,4.01074743270874
9,80534,2.6904483547696145e-06,0.4998299777507782,0.4998524785041809,0.4976849853992462,0.49769240617752075,0.702488124370575,0.7024746537208557,4.0106987953186035,4.010767459869385
10,150264,2.6756417810247513e-06,0.49982500076293945,0.49984997510910034,0.49768999218940735,0.49769487977027893,0.7024908661842346,0.702475905418396,4.0106635093688965,4.010752201080322
11,149931,2.6611858174874214e-06,0.4998199939727783,0.49984750151634216,0.4976849853992462,0.49769237637519836,0.7024934887886047,0.7024770975112915,4.010720729827881,4.010772228240967
12,38581,2.6513785087445285e-06,0.4998149871826172,0.4998449981212616,0.4976799786090851,0.4976898729801178,0.7024961709976196,0.7024782299995422,4.010746479034424,4.0107927322387695
13,43430,2.6427783268445637e-06,0.49980998039245605,0.49984249472618103,0.49767500162124634,0.49768733978271484,0.7024987936019897,0.7024794816970825,4.010752201080322,4.010810852050781
14,150694,2.6412628812977346e-06,0.4998049736022949,0.49983999133110046,0.4976799786090851,0.4976898431777954,0.7025014758110046,0.702480673789978,4.010737895965576,4.01081657409668
15,113410,2.6394757242087508e-06,0.4997999966144562,0.4998374879360199,0.49767500162124634,0.49768733978271484,0.7025040984153748,0.7024819254875183,4.010784149169922,4.010836601257324
16,108272,2.6297025215171743e-06,0.49979498982429504,0.49983498454093933,0.4976799786090851,0.497689813375473,0.7025067210197449,0.702483057975769,4.0107741355896,4.0108466148376465
17,48490,2.6190787139057647e-06,0.4997899830341339,0.49983248114585876,0.4976849853992462,0.4976923167705536,0.702509343624115,0.7024842500686646,4.010756015777588,4.010848045349121
18,151350,2.6124018859263742e-06,0.4997849762439728,0.4998299777507782,0.49768999218940735,0.49769479036331177,0.7025119066238403,0.7024855017662048,4.010718822479248,4.010830402374268
19,84275,2.6116001663467614e-06,0.49977999925613403,0.49982747435569763,0.4976849853992462,0.4976922869682312,0.7025145888328552,0.7024865746498108,4.010801315307617,4.010850429534912
