,edges,metagrad,accuracy
0,40063,0.00013111429871059954,0.8620949983596802
1,135373,0.00012979436723981053,0.8620649576187134
2,26320,0.00012379165855236351,0.8620550036430359
3,115985,0.00012164746294729412,0.8620249629020691
4,57873,0.00012104352936148643,0.8620249629020691
5,144575,0.00011986745812464505,0.8619899749755859
6,189021,0.0001187415182357654,0.8619999885559082
7,77684,0.00011715892469510436,0.8620399832725525
8,103855,0.00011678224109346047,0.8620399832725525
9,37004,0.0001162223779829219,0.8620499968528748
10,67710,0.0001153572229668498,0.8620499968528748
11,81723,0.00011431271559558809,0.8620100021362305
12,98990,0.00011411249579396099,0.8620149493217468
13,134398,0.0001115448321797885,0.8620149493217468
14,14618,0.00011151747457915917,0.8619849681854248
15,190045,0.00011132878717035055,0.8619999885559082
16,69177,0.00011112719948869199,0.8619999885559082
17,153078,0.00011087152233812958,0.8619549870491028
18,4097,0.00011072425695601851,0.8619549870491028
19,175993,0.00011069350875914097,0.8619549870491028
20,49137,0.00011015546624548733,0.8619449734687805
21,97735,0.00010910446144407615,0.8619349598884583
22,77525,0.00010732732334872708,0.8619499802589417
23,17067,0.00010722792649175972,0.8619749546051025
24,24324,0.00010533203021623194,0.8619949817657471
25,156404,0.00010480504715815187,0.8619849681854248
26,9217,0.00010407618538010865,0.8619749546051025
27,129679,0.00010399099119240418,0.8619399666786194
28,32798,0.00010381577885709703,0.8619899749755859
29,65403,0.00010350108641432598,0.8619499802589417
30,152237,0.00010336245031794533,0.8619299530982971
31,174259,0.00010331894736737013,0.8619199991226196
32,64257,0.00010307728371117264,0.8618849515914917
33,7783,0.00010131274757441133,0.8618800044059753
34,382,0.00010075487080030143,0.8618399500846863
35,115620,0.00010017926979344338,0.8618350028991699
36,22810,0.00010001496411859989,0.8618149757385254
37,158149,9.873291128315032e-05,0.8618499636650085
38,9672,9.862714796327055e-05,0.8618350028991699
39,56914,9.839316771831363e-05,0.8618199825286865
40,122930,9.825630695559084e-05,0.8618049621582031
41,146741,9.815136581892148e-05,0.8618499636650085
42,51457,9.770849283086136e-05,0.8618649840354919
43,61054,9.770668111741543e-05,0.8618399500846863
44,53690,9.765832510311157e-05,0.8618549704551697
45,174215,9.712402970762923e-05,0.8618649840354919
46,125391,9.686683188192546e-05,0.8618399500846863
47,81862,9.667521226219833e-05,0.8617549538612366
48,52042,9.657114424044266e-05,0.8617599606513977
49,182563,9.6526273409836e-05,0.8617449998855591
50,174244,9.610412234906107e-05,0.8617549538612366
51,177476,9.596883319318295e-05,0.8617500066757202
52,4887,9.5825431344565e-05,0.8617900013923645
53,84604,9.56813310040161e-05,0.8617449998855591
54,106420,9.526723442832008e-05,0.8617799878120422
55,144321,9.472805686527863e-05,0.8617449998855591
56,2642,9.423890878679231e-05,0.8617199659347534
57,88938,9.400110138813034e-05,0.8617249727249146
58,125315,9.396675886819139e-05,0.8616999983787537
59,110902,9.384091390529647e-05,0.8616699576377869
60,3609,9.379359835293144e-05,0.8616399765014648
