,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after
0,106569,-1,0.9135850071907043,0.9135850071907043,0.3065977096557617,0.3065977096557617
1,1227,-1,0.9135791063308716,0.9135785698890686,0.30659520626068115,0.30659669637680054
2,52886,-1,0.9135672450065613,0.9135662317276001,0.3065947890281677,0.3065977692604065
3,93788,-1,0.9135376811027527,0.9135360717773438,0.3065860867500305,0.30659058690071106
4,143757,-1,0.9135317206382751,0.913529634475708,0.30708223581314087,0.3070885241031647
5,98255,-1,0.9135732054710388,0.9135705828666687,0.3070787787437439,0.30708640813827515
6,150639,-1,0.913608729839325,0.9136055707931519,0.307070791721344,0.30708009004592896
7,48019,-1,0.9135968685150146,0.9135932326316833,0.30706697702407837,0.30707788467407227
8,137451,-1,0.9135968685150146,0.9135927557945251,0.3070712089538574,0.30708301067352295
9,90610,-1,0.9135968685150146,0.9135922789573669,0.30707037448883057,0.30708375573158264
10,144141,-1,0.9136146306991577,0.913609504699707,0.30707159638404846,0.3070850372314453
11,105717,-1,0.9136205911636353,0.9136208295822144,0.307094544172287,0.3070911765098572
12,12381,-1,0.913608729839325,0.9136084318161011,0.3065970540046692,0.30659449100494385
13,149331,-1,0.9136323928833008,0.9136316180229187,0.3066045939922333,0.30660152435302734
14,73621,-1,0.9136442542076111,0.913642942905426,0.30658861994743347,0.3065873682498932
15,31372,-1,0.9136916399002075,0.9136958122253418,0.3065955638885498,0.30659061670303345
16,126634,-1,0.9136383533477783,0.9136419892311096,0.30660346150398254,0.30659788846969604
17,53319,-1,0.9136383533477783,0.9136473536491394,0.30711492896080017,0.30710369348526
18,102056,-1,0.9136620163917542,0.913670539855957,0.3066216707229614,0.30661118030548096
19,38032,-1,0.9136857390403748,0.9136937260627747,0.30661219358444214,0.3066035509109497
20,48186,-1,0.9136975407600403,0.913705050945282,0.30711081624031067,0.30710282921791077
21,79673,-1,0.9136501550674438,0.9136571884155273,0.30661043524742126,0.3066037893295288
22,48744,-1,0.9136679172515869,0.9136744737625122,0.3071117699146271,0.30710598826408386
23,85503,-1,0.9136501550674438,0.9136561751365662,0.3071148693561554,0.3071094751358032
24,86580,-1,0.913626492023468,0.9136378765106201,0.30712512135505676,0.30711501836776733
25,40415,-1,0.9136323928833008,0.9136433005332947,0.30712568759918213,0.3071144223213196
26,105249,-1,0.9136028289794922,0.9136190414428711,0.3071436882019043,0.30712461471557617
27,22290,-1,0.9136501550674438,0.9136659502983093,0.30713602900505066,0.3071187734603882
28,114145,-1,0.913626492023468,0.9136417508125305,0.30713656544685364,0.307120144367218
29,154052,-1,0.9136916399002075,0.9137064218521118,0.3071292042732239,0.30711430311203003
30,106954,-1,0.9136561155319214,0.9136703610420227,0.3071110248565674,0.30709758400917053
31,138982,-1,0.9136501550674438,0.913663923740387,0.3071036636829376,0.3070909082889557
32,82107,-1,0.9136323928833008,0.9136515259742737,0.3071148693561554,0.3070997893810272
33,78209,-1,0.9136028289794922,0.9136213660240173,0.30710792541503906,0.3070942461490631
34,63531,-1,0.9136146306991577,0.9136328101158142,0.30709725618362427,0.3070853650569916
35,10376,-1,0.9136383533477783,0.9136618971824646,0.30712905526161194,0.3071039319038391
36,105975,-1,0.9135968685150146,0.913619875907898,0.30712074041366577,0.3070959448814392
37,5532,-1,0.9136205911636353,0.9136489629745483,0.30714359879493713,0.3071090877056122
38,58853,-1,0.913608729839325,0.9136366248130798,0.30715277791023254,0.30711761116981506
39,838,-1,0.913608729839325,0.9136419892311096,0.30717429518699646,0.30713027715682983
40,166684,-1,0.9135613441467285,0.9135941863059998,0.30716049671173096,0.3071182370185852
41,152590,-1,0.9135732054710388,0.9135995507240295,0.30714353919029236,0.30710285902023315
42,136970,-1,0.9135258197784424,0.9135575890541077,0.307157039642334,0.30711546540260315
43,111069,-1,0.9135258197784424,0.9135570526123047,0.307157963514328,0.3071177303791046
44,98072,-1,0.9135435819625854,0.9135742783546448,0.30715879797935486,0.30712026357650757
45,160005,-1,0.9135968685150146,0.9136270880699158,0.3071451783180237,0.3071078062057495
46,11619,-1,0.9135791063308716,0.9136088490486145,0.3071559965610504,0.3071165978908539
47,168309,-1,0.9135968685150146,0.9136261343955994,0.3071451485157013,0.30710726976394653
48,16908,-1,0.9135317206382751,0.9135604500770569,0.30715590715408325,0.30711629986763
49,60622,-1,0.9135376811027527,0.9135658144950867,0.3071726858615875,0.3071252107620239
50,93723,-1,0.9135198593139648,0.9135475158691406,0.3071770668029785,0.30712756514549255
51,70695,-1,0.9135317206382751,0.913558840751648,0.30719372630119324,0.3071442246437073
52,112559,-1,0.9135732054710388,0.9135998487472534,0.30717119574546814,0.3071232736110687
53,19541,-1,0.9135554432868958,0.9135815501213074,0.30715256929397583,0.3071064352989197
54,41898,-1,0.9135554432868958,0.9135810732841492,0.30714771151542664,0.30710282921791077
55,10824,-1,0.9135435819625854,0.9135686755180359,0.30712890625,0.3070858418941498
56,29095,-1,0.9135613441467285,0.913585901260376,0.307126522064209,0.30708426237106323
57,131915,-1,0.9135909676551819,0.9136151075363159,0.30711978673934937,0.3070785701274872
58,88283,-1,0.9135968685150146,0.9136204719543457,0.307116836309433,0.3070763945579529
59,56358,-1,0.9135317206382751,0.9135607481002808,0.30711793899536133,0.3070775866508484
60,8214,-1,0.9135494828224182,0.9135779738426208,0.30709874629974365,0.3070604205131531
61,35770,-1,0.9135494828224182,0.9135774374008179,0.30709168314933777,0.30705446004867554
62,100222,-1,0.9135435819625854,0.9135769605636597,0.3071078956127167,0.30706357955932617
63,2457,-1,0.9135613441467285,0.9135942459106445,0.30709967017173767,0.307056188583374
64,67133,-1,0.9135494828224182,0.9135818481445312,0.30710992217063904,0.30706626176834106
65,129149,-1,0.9135613441467285,0.9135931730270386,0.3070994019508362,0.3070572018623352
66,163681,-1,0.9135435819625854,0.9135748744010925,0.30710554122924805,0.30706366896629333
67,63318,-1,0.9135732054710388,0.9136039614677429,0.3071417212486267,0.30710163712501526
68,108269,-1,0.9135791063308716,0.9136094450950623,0.30714353919029236,0.30710428953170776
69,112479,-1,0.9135909676551819,0.9136207699775696,0.3076610267162323,0.3076237142086029
70,118576,-1,0.913608729839325,0.9136380553245544,0.3076588809490204,0.30762243270874023
71,55604,-1,0.9135850071907043,0.9136197566986084,0.30767306685447693,0.30763426423072815
72,109034,-1,0.9135198593139648,0.9135540127754211,0.3076689839363098,0.3076319396495819
73,61445,-1,0.9135317206382751,0.9135653972625732,0.30766361951828003,0.30762767791748047
74,75233,-1,0.9135080575942993,0.9135470986366272,0.3077031373977661,0.30765044689178467
75,164974,-1,0.9134725332260132,0.9135110378265381,0.307204008102417,0.3071507215499878
76,115643,-1,0.9135258197784424,0.9135638475418091,0.30769598484039307,0.3076435327529907
77,148243,-1,0.9135020971298218,0.9135395884513855,0.3072020411491394,0.30715039372444153
78,123117,-1,0.9134843349456787,0.913521409034729,0.3072027862071991,0.30715212225914
79,38654,-1,0.9135080575942993,0.9135445356369019,0.30721285939216614,0.3071627616882324
80,11680,-1,0.9134606719017029,0.9134966135025024,0.3072117567062378,0.3071627914905548
81,106473,-1,0.9134488105773926,0.9134842753410339,0.3072167932987213,0.30716848373413086
82,164283,-1,0.9134191870689392,0.9134541153907776,0.30721887946128845,0.30717188119888306
83,45564,-1,0.9134251475334167,0.9134595394134521,0.30723315477371216,0.30718788504600525
84,146812,-1,0.9134725332260132,0.9135064482688904,0.30721747875213623,0.30717405676841736
85,39543,-1,0.9134488105773926,0.9134821891784668,0.30722492933273315,0.30718159675598145
86,118454,-1,0.9135080575942993,0.9135409593582153,0.3072158098220825,0.30717137455940247
87,167823,-1,0.9134902954101562,0.9135227203369141,0.30719906091690063,0.307156503200531
88,45243,-1,0.9135020971298218,0.9135340452194214,0.30720895528793335,0.3071668744087219
89,13195,-1,0.9134665727615356,0.9134979248046875,0.3072124421596527,0.3071715235710144
90,21346,-1,0.9134369492530823,0.9134737253189087,0.3072351813316345,0.30719125270843506
91,110619,-1,0.9134429097175598,0.913485050201416,0.30725547671318054,0.3072082996368408
92,85760,-1,0.9134369492530823,0.913478672504425,0.3072369694709778,0.30719155073165894
93,149753,-1,0.9134132862091064,0.9134544134140015,0.30724117159843445,0.3071961998939514
94,97072,-1,0.9134014248847961,0.9134479761123657,0.307279109954834,0.307230681180954
95,68595,-1,0.9134369492530823,0.9134830236434937,0.30727845430374146,0.3072284758090973
96,147916,-1,0.9134547114372253,0.9135002493858337,0.3072820007801056,0.30723321437835693
97,1402,-1,0.9134488105773926,0.9134938716888428,0.3072793483734131,0.30723124742507935
98,68046,-1,0.913478434085846,0.9135229587554932,0.3072746992111206,0.3072280287742615
99,115788,-1,0.9134429097175598,0.9134927988052368,0.3072843849658966,0.30723366141319275
100,5669,-1,0.9134014248847961,0.9134507775306702,0.30727899074554443,0.30723005533218384
101,53598,-1,0.9133836627006531,0.9134325385093689,0.3072759509086609,0.3072279989719391
102,17190,-1,0.9134251475334167,0.9134735465049744,0.3077735900878906,0.3077244758605957
103,34530,-1,0.9134014248847961,0.9134492874145508,0.30776429176330566,0.3077167868614197
104,94851,-1,0.9134429097175598,0.9134961366653442,0.3077777624130249,0.3077273666858673
105,123977,-1,0.9134547114372253,0.9135074615478516,0.3077748715877533,0.30772632360458374
106,132775,-1,0.9133836627006531,0.9134359359741211,0.3077920079231262,0.3077453672885895
107,152405,-1,0.9134014248847961,0.913459062576294,0.3073171079158783,0.307255357503891
108,43422,-1,0.9134251475334167,0.9134822487831116,0.30730491876602173,0.30724483728408813
109,34128,-1,0.9134429097175598,0.9134995341300964,0.3073091506958008,0.3072497546672821
110,107884,-1,0.9133895635604858,0.9134457111358643,0.30729734897613525,0.3072395324707031
111,138930,-1,0.91336590051651,0.9134274125099182,0.3073124289512634,0.3072502911090851
112,16830,-1,0.9133540391921997,0.9134150147438049,0.3073192238807678,0.3072556257247925
113,48129,-1,0.9133422374725342,0.9134026765823364,0.3073068857192993,0.3072446286678314
114,121702,-1,0.9133185148239136,0.9133784770965576,0.30731335282325745,0.3072514235973358
115,153294,-1,0.9133422374725342,0.9134016633033752,0.30730339884757996,0.30724284052848816
116,56963,-1,0.91336590051651,0.9134248495101929,0.307298868894577,0.30723926424980164
117,62942,-1,0.9133718013763428,0.9134302139282227,0.30730733275413513,0.3072473406791687
118,46746,-1,0.9133955240249634,0.9134534597396851,0.30729883909225464,0.3072397708892822
119,39944,-1,0.9133422374725342,0.9134055376052856,0.30732038617134094,0.30725255608558655
120,71264,-1,0.9133481383323669,0.9134109020233154,0.3073192238807678,0.3072526454925537
121,108113,-1,0.9133599996566772,0.9134222269058228,0.30731937289237976,0.30725181102752686
122,76642,-1,0.9133718013763428,0.9134336709976196,0.30732038617134094,0.30725356936454773
123,152926,-1,0.9133718013763428,0.9134331345558167,0.3073226809501648,0.30725669860839844
124,1210,-1,0.9134073853492737,0.9134681224822998,0.3078235983848572,0.30775871872901917
125,75654,-1,0.9134488105773926,0.9135091304779053,0.3078293800354004,0.307765394449234
126,62042,-1,0.9134725332260132,0.9135323762893677,0.3078390061855316,0.3077760934829712
127,98046,-1,0.9135198593139648,0.9135792255401611,0.3078359365463257,0.3077743649482727
128,73736,-1,0.9134843349456787,0.913543164730072,0.30782806873321533,0.30776727199554443
129,111940,-1,0.9134369492530823,0.9134951829910278,0.30782660841941833,0.3077673017978668
130,7614,-1,0.9134310483932495,0.9134888052940369,0.3078286349773407,0.3077678084373474
131,148597,-1,0.9134547114372253,0.9135119915008545,0.30779969692230225,0.3077404797077179
132,56163,-1,0.9134191870689392,0.9134818315505981,0.30781102180480957,0.3077491223812103
133,125648,-1,0.9133955240249634,0.9134635329246521,0.3078199028968811,0.30775582790374756
134,23388,-1,0.9134191870689392,0.9134867787361145,0.30782461166381836,0.307762086391449
135,45482,-1,0.9134251475334167,0.9134981036186218,0.3073245584964752,0.30725863575935364
136,57517,-1,0.9134369492530823,0.9135094285011292,0.3073311746120453,0.30726587772369385
137,62926,-1,0.9134429097175598,0.9135207533836365,0.307371586561203,0.3072829246520996
138,25494,-1,0.9134665727615356,0.9135380387306213,0.30685868859291077,0.306769996881485
139,148937,-1,0.9134665727615356,0.9135375022888184,0.30735668540000916,0.30726897716522217
140,120582,-1,0.9135672450065613,0.9136377573013306,0.3073400557041168,0.3072541058063507
141,56248,-1,0.9135494828224182,0.9136194586753845,0.3073089122772217,0.30722567439079285
142,48724,-1,0.9135732054710388,0.9136427044868469,0.30731043219566345,0.30722862482070923
143,20641,-1,0.9135850071907043,0.9136540293693542,0.3072752356529236,0.3071950376033783
144,12870,-1,0.9135494828224182,0.9136179089546204,0.3072737753391266,0.3071950674057007
145,154479,-1,0.9135435819625854,0.9136114716529846,0.3072759509086609,0.30719923973083496
146,84136,-1,0.9135909676551819,0.9136584401130676,0.3072722554206848,0.3071949779987335
147,52428,-1,0.9135317206382751,0.9135985970497131,0.3067696988582611,0.30669349431991577
148,135260,-1,0.9134547114372253,0.9135269522666931,0.30728793144226074,0.3072071671485901
149,50817,-1,0.9134843349456787,0.913561999797821,0.3072892725467682,0.3072098195552826
150,18784,-1,0.9134843349456787,0.9135556221008301,0.3067910671234131,0.3067116141319275
151,77132,-1,0.9134606719017029,0.9135313630104065,0.30679407715797424,0.3067153990268707
152,80508,-1,0.9135198593139648,0.913590133190155,0.3067849576473236,0.30670803785324097
153,2049,-1,0.9134665727615356,0.9135363101959229,0.3072862923145294,0.3072099983692169
154,27234,-1,0.9134251475334167,0.913500189781189,0.30729299783706665,0.3072153925895691
155,120452,-1,0.9134132862091064,0.9134877920150757,0.3072921335697174,0.307216078042984
156,30569,-1,0.9134251475334167,0.913499116897583,0.3072916865348816,0.30721744894981384
157,60853,-1,0.9134191870689392,0.913492739200592,0.30677682161331177,0.3067038655281067
158,160263,-1,0.9134488105773926,0.9135218262672424,0.3067571222782135,0.3066859543323517
