,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after
0,85658,0.00017389163258485496,0.9135850071907043,0.9135850071907043,0.3065977096557617,0.3065977096557617
1,105403,0.00016277481336146593,0.9135732054710388,0.9135785698890686,0.3066714406013489,0.3066257834434509
2,96880,0.000158338516484946,0.9135317206382751,0.9135425090789795,0.30672717094421387,0.3066563010215759
3,124502,0.00015436994726769626,0.9134725332260132,0.9134886860847473,0.3067878782749176,0.3066694140434265
4,58013,0.00014988421753514558,0.9134488105773926,0.9134703874588013,0.3068455457687378,0.30668091773986816
5,99926,0.0001495710457675159,0.9134310483932495,0.9134580492973328,0.3068884015083313,0.3066970705986023
6,108083,0.00014913102495484054,0.9134429097175598,0.9134752750396729,0.30698758363723755,0.3067307770252228
7,36931,0.0001461476640542969,0.9135020971298218,0.9135399460792542,0.30704638361930847,0.30673420429229736
8,40141,0.0001460261264583096,0.9135080575942993,0.9135513305664062,0.3070833683013916,0.3067467510700226
9,56699,0.00014535868831444532,0.9135139584541321,0.9135626554489136,0.3071117401123047,0.306745320558548
10,86633,0.00014382557128556073,0.9135080575942993,0.9135621190071106,0.3071652352809906,0.30675163865089417
11,80894,0.00013867871894035488,0.913496196269989,0.9135556817054749,0.3072287142276764,0.30677539110183716
12,108015,0.00013827405928168446,0.9135080575942993,0.9135729074478149,0.30727988481521606,0.30677470564842224
13,148151,0.00013736724213231355,0.9134369492530823,0.9135072231292725,0.30731433629989624,0.3067743182182312
14,107286,0.0001358028530376032,0.9133718013763428,0.9134474992752075,0.3067978024482727,0.30624935030937195
15,46014,0.00013553767348639667,0.9133599996566772,0.9134411215782166,0.30730491876602173,0.30674460530281067
16,76125,0.0001347003853879869,0.9133481383323669,0.9134346842765808,0.3063185513019562,0.3057326376438141
17,165147,0.00013448507525026798,0.91336590051651,0.9134578704833984,0.3063845932483673,0.3057531714439392
18,10405,0.0001339681475656107,0.9133895635604858,0.9134869575500488,0.30588895082473755,0.30524519085884094
19,151087,0.00013175306958146393,0.9133777618408203,0.9134804606437683,0.30594441294670105,0.3052656352519989
20,160676,0.0001315213303314522,0.9133303761482239,0.9134384989738464,0.3060047924518585,0.3052811622619629
21,89738,0.00013115955516695976,0.9133599996566772,0.9134736061096191,0.3065410554409027,0.3057839274406433
22,3922,0.00013114366447553039,0.9133895635604858,0.9135085940361023,0.3065875768661499,0.3057885766029358
23,140140,0.00013137640780769289,0.9133895635604858,0.9135140180587769,0.3066330850124359,0.3057883679866791
24,129698,0.00012964144116267562,0.9132592678070068,0.9133890867233276,0.30671101808547974,0.3058615028858185
25,37836,0.0001292311935685575,0.9132948517799377,0.9134300351142883,0.3067050874233246,0.30584287643432617
26,6527,0.00012897985288873315,0.9133303761482239,0.913470983505249,0.306738942861557,0.30585977435112
27,68340,0.000128957923152484,0.9132592678070068,0.9134052991867065,0.3067682683467865,0.30586138367652893
28,45112,0.000126624945551157,0.9132297039031982,0.9133811593055725,0.30680328607559204,0.3058866560459137
29,96318,0.0001264553575310856,0.913235604763031,0.9133924841880798,0.30680596828460693,0.30588436126708984
30,147129,0.00012529888772405684,0.9132415056228638,0.9134038090705872,0.30683964490890503,0.3058973252773285
31,94237,0.00012374746438581496,0.913235604763031,0.9134032726287842,0.30689072608947754,0.3059138059616089
32,85123,0.00012291796156205237,0.9131645560264587,0.9133375883102417,0.3069325089454651,0.3059427738189697
33,106189,0.00012289347068872303,0.9131941199302673,0.9133725762367249,0.306408554315567,0.305411159992218
34,3826,0.00012276601046323776,0.9132000803947449,0.9133840203285217,0.3064236640930176,0.3054216206073761
35,121404,0.00012230283755343407,0.9131823182106018,0.9133716225624084,0.30648377537727356,0.3054560720920563
36,160438,0.00012194408918730915,0.9131704568862915,0.9133651852607727,0.30655041337013245,0.30548807978630066
