,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after
0,40063,0.00013138992653694004,0.8877999782562256,0.8877999782562256,0.31040096282958984,0.31040096282958984
1,135373,0.0001294423855142668,0.8878249526023865,0.8878294229507446,0.31004777550697327,0.30998551845550537
2,144575,0.00012169456022093073,0.887779951095581,0.8877888321876526,0.3101043701171875,0.3099885582923889
3,77684,0.00012078302825102583,0.8877349495887756,0.8877483010292053,0.3101729452610016,0.309994637966156
4,189021,0.00012030125071760267,0.8877099752426147,0.8877277374267578,0.3102339506149292,0.3100009858608246
5,115985,0.00012000579590676352,0.8877300024032593,0.8877521753311157,0.3102896511554718,0.3100025951862335
6,26320,0.0001199112884933129,0.8877149820327759,0.8877416253089905,0.30987435579299927,0.30953750014305115
7,67710,0.00011739572073565796,0.8876949548721313,0.8877260684967041,0.3099230229854584,0.30953171849250793
8,57873,0.0001172228148789145,0.8876850008964539,0.88772052526474,0.3099791705608368,0.3095414936542511
9,37004,0.00011706865188898519,0.8876649737358093,0.8877049684524536,0.3104553520679474,0.309962660074234
10,69177,0.00011580604041228071,0.8876499533653259,0.8876943588256836,0.31050291657447815,0.3099666237831116
11,4097,0.0001152823242591694,0.887594997882843,0.8876438140869141,0.31056803464889526,0.3099854588508606
12,14618,0.00011497728701215237,0.8876049518585205,0.8876582384109497,0.31063351035118103,0.3100069463253021
13,153078,0.00011487755546113476,0.8876149654388428,0.8876727223396301,0.31066417694091797,0.3100118041038513
14,98990,0.00011415813060011715,0.887624979019165,0.8876871466636658,0.3107196092605591,0.31002378463745117
15,81723,0.00011414867185521871,0.8876049518585205,0.8876715898513794,0.310769647359848,0.31002864241600037
16,190045,0.00011270299000898376,0.8876049518585205,0.8876760005950928,0.3108178377151489,0.31003537774086
17,103855,0.00011115316010545939,0.8875899910926819,0.8876654505729675,0.3108738660812378,0.31004735827445984
18,49137,0.00011037421791115776,0.8876000046730042,0.8876798748970032,0.3109479546546936,0.3100455701351166
19,134398,0.00010954155004583299,0.8876049518585205,0.8876893520355225,0.310996949672699,0.3100506365299225
20,17067,0.00010925350215984508,0.8875649571418762,0.8876537680625916,0.31105318665504456,0.31005528569221497
21,77525,0.00010839643800863996,0.8875049948692322,0.8875982165336609,0.31112343072891235,0.31006860733032227
