,perturbs,iters,loss
0,0,0,3.9725873470306396
1,0,1,3.9174790382385254
2,0,2,3.870304822921753
3,0,3,3.820030450820923
4,0,4,3.7659530639648438
5,0,5,3.715540647506714
6,0,6,3.6626386642456055
7,0,7,3.612910509109497
8,0,8,3.5647993087768555
9,0,9,3.5225138664245605
10,0,10,3.477140426635742
11,0,11,3.432157516479492
12,0,12,3.390437364578247
13,0,13,3.346118450164795
14,0,14,3.3051161766052246
15,0,15,3.2660715579986572
16,0,16,3.2281711101531982
17,0,17,3.187678575515747
18,0,18,3.147498607635498
19,0,19,3.110229253768921
20,0,20,3.0719492435455322
21,0,21,3.036548376083374
22,0,22,2.9984421730041504
23,0,23,2.9602737426757812
24,0,24,2.924067497253418
25,0,25,2.8915464878082275
26,0,26,2.857189416885376
27,0,27,2.8222997188568115
28,0,28,2.7885289192199707
29,0,29,2.752539873123169
30,1,0,3.972752809524536
31,1,1,3.9176440238952637
32,1,2,3.870469808578491
33,1,3,3.820195198059082
34,1,4,3.7661173343658447
35,1,5,3.7157042026519775
36,1,6,3.6628026962280273
37,1,7,3.6130740642547607
38,1,8,3.564962387084961
39,1,9,3.522677183151245
40,1,10,3.4773037433624268
41,1,11,3.4323198795318604
42,1,12,3.3905999660491943
43,1,13,3.346280336380005
44,1,14,3.3052780628204346
45,1,15,3.266232967376709
46,1,16,3.228332042694092
47,1,17,3.187839984893799
48,1,18,3.1476593017578125
49,1,19,3.1103897094726562
50,1,20,3.0721092224121094
51,1,21,3.036708116531372
52,1,22,2.9986019134521484
53,1,23,2.960432767868042
54,1,24,2.924226760864258
55,1,25,2.89170503616333
56,1,26,2.8573479652404785
57,1,27,2.822458028793335
58,1,28,2.788687229156494
59,1,29,2.752697706222534
60,2,0,3.9729292392730713
61,2,1,3.9178199768066406
62,2,2,3.87064528465271
63,2,3,3.8203699588775635
64,2,4,3.7662911415100098
65,2,5,3.7158772945404053
66,2,6,3.6629748344421387
67,2,7,3.6132454872131348
68,2,8,3.5651333332061768
69,2,9,3.5228471755981445
70,2,10,3.477473020553589
71,2,11,3.4324886798858643
72,2,12,3.390768051147461
73,2,13,3.346447706222534
74,2,14,3.3054447174072266
75,2,15,3.2663986682891846
76,2,16,3.2284975051879883
77,2,17,3.1880042552948
78,2,18,3.1478233337402344
79,2,19,3.110553026199341
80,2,20,3.0722718238830566
81,2,21,3.036870002746582
82,2,22,2.998762845993042
83,2,23,2.9605937004089355
84,2,24,2.924386739730835
85,2,25,2.891864061355591
86,2,26,2.857506513595581
87,2,27,2.8226158618927
88,2,28,2.788844347000122
89,2,29,2.752854347229004
90,3,0,3.9730892181396484
91,3,1,3.9179799556732178
92,3,2,3.870804786682129
93,3,3,3.8205292224884033
94,3,4,3.7664501667022705
95,3,5,3.716036081314087
96,3,6,3.663133382797241
97,3,7,3.6134040355682373
98,3,8,3.565291166305542
99,3,9,3.5230050086975098
100,3,10,3.477630615234375
101,3,11,3.432645797729492
102,3,12,3.3909249305725098
103,3,13,3.346604347229004
104,3,14,3.305601119995117
105,3,15,3.2665553092956543
106,3,16,3.2286536693573
107,3,17,3.1881601810455322
108,3,18,3.1479790210723877
109,3,19,3.110708475112915
110,3,20,3.07242751121521
111,3,21,3.037024974822998
112,3,22,2.9989173412323
113,3,23,2.9607479572296143
114,3,24,2.9245407581329346
115,3,25,2.8920183181762695
116,3,26,2.8576602935791016
117,3,27,2.8227694034576416
118,3,28,2.7889974117279053
119,3,29,2.753007411956787
120,4,0,3.9732460975646973
121,4,1,3.91813588142395
122,4,2,3.8709609508514404
123,4,3,3.8206849098205566
124,4,4,3.7666056156158447
125,4,5,3.716191053390503
126,4,6,3.6632883548736572
127,4,7,3.613558769226074
128,4,8,3.5654454231262207
129,4,9,3.5231592655181885
130,4,10,3.4777843952178955
131,4,11,3.4327993392944336
132,4,12,3.391078233718872
133,4,13,3.346757411956787
134,4,14,3.3057539463043213
135,4,15,3.2667076587677
136,4,16,3.2288055419921875
137,4,17,3.188312530517578
138,4,18,3.1481306552886963
139,4,19,3.1108596324920654
140,4,20,3.0725786685943604
141,4,21,3.0371758937835693
142,4,22,2.999068021774292
143,4,23,2.9608983993530273
144,4,24,2.9246912002563477
145,4,25,2.8921682834625244
146,4,26,2.8578100204467773
147,4,27,2.822918653488159
148,4,28,2.789146900177002
149,4,29,2.753156900405884
150,5,0,3.973414659500122
151,5,1,3.9183037281036377
152,5,2,3.8711276054382324
