,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after
0,40063,0.05355079844594002,0.9221499562263489,0.9221499562263489,0.22875304520130157,0.22875304520130157
1,135373,0.0522480309009552,0.9221799969673157,0.9221845865249634,0.22833792865276337,0.22830982506275177
2,26320,0.05107620358467102,0.9222099781036377,0.9222192168235779,0.22835791110992432,0.22831451892852783
3,57873,0.04908923804759979,0.9221999645233154,0.9222137928009033,0.22836798429489136,0.22831617295742035
4,103855,0.0486140213906765,0.9222099781036377,0.9222284555435181,0.22838638722896576,0.228314608335495
5,115985,0.04814787209033966,0.9222300052642822,0.9222530722618103,0.22845743596553802,0.22833111882209778
6,144575,0.047642018646001816,0.9222449660301208,0.9222726821899414,0.22840222716331482,0.2282647341489792
7,81723,0.0476277619600296,0.9222649931907654,0.9222972989082336,0.22845612466335297,0.22828248143196106
8,189021,0.0475519597530365,0.9222949743270874,0.9223318696022034,0.2284674197435379,0.22828854620456696
9,134398,0.047003988176584244,0.9223249554634094,0.9223664999008179,0.228493332862854,0.22829052805900574
10,67710,0.04689671844244003,0.9222999811172485,0.9223461151123047,0.22851842641830444,0.22829730808734894
11,175993,0.04616950452327728,0.9223299622535706,0.9223807454109192,0.22854560613632202,0.22830845415592194
12,77684,0.045950330793857574,0.9222599864006042,0.9223153591156006,0.22855021059513092,0.2283080667257309
13,98990,0.045795612037181854,0.9222899675369263,0.9223499298095703,0.22900846600532532,0.2287387102842331
14,37004,0.045762237161397934,0.9222949743270874,0.9223595857620239,0.2290220707654953,0.22874267399311066
15,190045,0.04506678506731987,0.9222849607467651,0.9223541617393494,0.22903640568256378,0.22874800860881805
16,4097,0.04475737735629082,0.9222549796104431,0.922328770160675,0.22906394302845,0.22876158356666565
17,97735,0.04441632702946663,0.9222699999809265,0.9223483800888062,0.22909335792064667,0.2287720888853073
18,69177,0.04416695982217789,0.9222899675369263,0.9223729968070984,0.22912004590034485,0.2287842184305191
19,49137,0.043777916580438614,0.9222849607467651,0.9223726391792297,0.22915586829185486,0.22880016267299652
20,24324,0.043770067393779755,0.9222649931907654,0.9223572611808777,0.22875714302062988,0.22838850319385529
21,153078,0.04344005882740021,0.9222449660301208,0.9223418831825256,0.22919245064258575,0.22881485521793365
22,14618,0.04306916147470474,0.9222300052642822,0.9223314523696899,0.22921663522720337,0.22882384061813354
23,64257,0.04306451231241226,0.9222149848937988,0.9223160743713379,0.2292197197675705,0.228826105594635
24,77525,0.04216499626636505,0.9222249984741211,0.9223256707191467,0.22922511398792267,0.22883084416389465
25,152237,0.04192541539669037,0.9222249984741211,0.9223303198814392,0.2292407751083374,0.22884003818035126
26,17067,0.04192209616303444,0.9222149848937988,0.9223248958587646,0.22925619781017303,0.2288459837436676
27,7783,0.04152004420757294,0.9221850037574768,0.9222995042800903,0.22929999232292175,0.22885388135910034
28,156404,0.04150577262043953,0.9221850037574768,0.9223041534423828,0.22931790351867676,0.22886532545089722
29,65403,0.04133874177932739,0.9221749901771545,0.9222987294197083,0.22933495044708252,0.22886963188648224
30,122930,0.04132038727402687,0.9221999645233154,0.9223233461380005,0.22932857275009155,0.22886589169502258
31,129679,0.041071124374866486,0.9221649765968323,0.922292947769165,0.22934909164905548,0.22887732088565826
32,9217,0.04094904288649559,0.9221599698066711,0.9222925901412964,0.22936096787452698,0.22888623178005219
33,174259,0.040933482348918915,0.9221949577331543,0.922332227230072,0.22936949133872986,0.22888632118701935
34,382,0.04090653732419014,0.9221649765968323,0.9223068356513977,0.2289445996284485,0.2284419983625412
35,9672,0.040837522596120834,0.9221299886703491,0.9222764372825623,0.2289690524339676,0.22845496237277985
36,32798,0.04063340276479721,0.9221299886703491,0.92228102684021,0.22899070382118225,0.2284730076789856
37,146741,0.040318768471479416,0.9221299886703491,0.9222806692123413,0.2289777249097824,0.22845841944217682
38,32615,0.04020077735185623,0.9221199750900269,0.9222702383995056,0.22899463772773743,0.22847360372543335
39,22810,0.04000186547636986,0.9221449494361877,0.922299861907959,0.22899021208286285,0.22846461832523346
