,edges,metagrad,accuracy_before,accuracy_after,accuracy_unseen,loss_before,loss_after,loss_unseen,accuracy_before_eval,accuracy_after_eval,accuracy_unseen_eval,loss_before_eval,loss_after_eval,loss_unseen_eval
0,136784,-1,0.9082126617431641,0.9082126617431641,0.7605556845664978,0.21311624348163605,0.21311624348163605,0.7249366044998169,0.9091523885726929,0.9091523885726929,0.7618434429168701,0.2118370085954666,0.2118370085954666,0.7242200970649719
1,87412,-1,0.9082314968109131,0.9082371592521667,0.7603080868721008,0.21317513287067413,0.21317094564437866,0.724977433681488,0.908738911151886,0.9087383151054382,0.76154625415802,0.21258781850337982,0.21258655190467834,0.7246975302696228
2,85508,-1,0.908181369304657,0.9081864953041077,0.759911835193634,0.21317316591739655,0.21317028999328613,0.7255777716636658,0.9090772271156311,0.9090760946273804,0.7616948485374451,0.21189206838607788,0.21189159154891968,0.7261635661125183
3,92076,-1,0.9083316922187805,0.9083425402641296,0.7598623037338257,0.21310582756996155,0.21309517323970795,0.7253491282463074,0.90887051820755,0.908875048160553,0.7619177103042603,0.21186421811580658,0.21186049282550812,0.7261454463005066
4,42530,-1,0.9081312417984009,0.9081414341926575,0.7595403790473938,0.21329496800899506,0.21328547596931458,0.7255419492721558,0.9090772271156311,0.909081220626831,0.7616453170776367,0.21191656589508057,0.21191227436065674,0.725987434387207
5,84222,-1,0.9080122113227844,0.9080281257629395,0.7596889734268188,0.213349387049675,0.21330173313617706,0.7254263758659363,0.9089519381523132,0.9089616537094116,0.7617196440696716,0.2119748294353485,0.21196696162223816,0.7259551286697388
6,110195,-1,0.9081061482429504,0.9081215262413025,0.7600851655006409,0.21359211206436157,0.21354569494724274,0.7258481979370117,0.9086637496948242,0.9086728692054749,0.7620415687561035,0.21270795166492462,0.21270126104354858,0.7262961268424988
7,97444,-1,0.9082440137863159,0.9082649946212769,0.7594413161277771,0.2131454348564148,0.21309271454811096,0.7258505821228027,0.9088454246520996,0.9088539481163025,0.7612243294715881,0.211756631731987,0.21175150573253632,0.7216173410415649
8,79274,-1,0.9081312417984009,0.9081517457962036,0.7601346969604492,0.21325089037418365,0.21319925785064697,0.7304785251617432,0.908820390701294,0.9088346362113953,0.7616701126098633,0.21180658042430878,0.21178394556045532,0.721653163433075
9,105332,-1,0.9083129167556763,0.9083328247070312,0.7597880363464355,0.21285152435302734,0.21280112862586975,0.7290534973144531,0.9089519381523132,0.9089655876159668,0.7617196440696716,0.2119641900062561,0.21194303035736084,0.7242166996002197
10,34031,-1,0.9082189202308655,0.9082382321357727,0.7600356936454773,0.21351255476474762,0.21346312761306763,0.7302523851394653,0.9089519381523132,0.908964991569519,0.7621406316757202,0.21200361847877502,0.2119828760623932,0.7243713736534119
11,64661,-1,0.9082815647125244,0.9083003401756287,0.7600851655006409,0.213487908244133,0.2134397327899933,0.730323851108551,0.908738911151886,0.908757746219635,0.7615957856178284,0.2126261442899704,0.2126024067401886,0.7241557240486145
12,37819,-1,0.9083129167556763,0.9083373546600342,0.7598870992660522,0.21277840435504913,0.21272394061088562,0.7239694595336914,0.9086887836456299,0.9087070226669312,0.7621901631355286,0.2127712070941925,0.2127455621957779,0.7264469861984253
13,13768,-1,0.9080936312675476,0.9081174731254578,0.7601099610328674,0.21358878910541534,0.21353527903556824,0.7302249670028687,0.90864497423172,0.9086625576019287,0.7619920372962952,0.212810218334198,0.2127855271100998,0.7245640754699707
14,77800,-1,0.9079495668411255,0.9079728126525879,0.7603080868721008,0.21346671879291534,0.21341471374034882,0.7302005290985107,0.9087640047073364,0.908781111240387,0.7612738609313965,0.2118595987558365,0.2118406891822815,0.7217875123023987
15,135645,-1,0.9081375002861023,0.9081602096557617,0.7600356936454773,0.21346010267734528,0.2134094387292862,0.7303636074066162,0.9087076187133789,0.9087303876876831,0.7612491250038147,0.2118796855211258,0.2118457555770874,0.7218791842460632
16,141532,-1,0.9080497622489929,0.9080718755722046,0.759763240814209,0.21371741592884064,0.21366624534130096,0.73021000623703,0.9085133671760559,0.9085417985916138,0.7614224553108215,0.21242719888687134,0.2123820036649704,0.7232579588890076
17,75480,-1,0.9080748558044434,0.9081026911735535,0.7601099610328674,0.21357382833957672,0.21351955831050873,0.7302613854408264,0.9087890386581421,0.908816933631897,0.7618682384490967,0.2120448499917984,0.2119995504617691,0.721824049949646
18,15705,-1,0.9081876277923584,0.9082148671150208,0.7595899105072021,0.2133227437734604,0.2132696807384491,0.7302318811416626,0.908820390701294,0.9088539481163025,0.7617939114570618,0.2120887041091919,0.21202586591243744,0.7221107482910156
19,3753,-1,0.9080748558044434,0.9081077575683594,0.7599613666534424,0.21379268169403076,0.21372288465499878,0.73003751039505,0.908757746219635,0.9087969660758972,0.7612243294715881,0.2119070142507553,0.21183811128139496,0.7216536402702332
