,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,136784,-1,0.85086989402771,0.85086989402771,0.8067903518676758,0.3387678861618042,0.3387678861618042,0.43146196007728577,0.848376452922821,0.848376452922821,0.8072360754013062,0.3410639762878418,0.3410639762878418,0.4351038932800293,0.9297892277597056,0.9297892277597056,0.8844165840734017,0.9275155924622264,0.9275155924622264,0.8865709055002208
1,87412,-1,0.850500226020813,0.850505530834198,0.8066169619560242,0.3389912545681,0.3389889895915985,0.43343621492385864,0.8484014868736267,0.8484067916870117,0.807409405708313,0.34111398458480835,0.34110715985298157,0.43492183089256287,0.929141058656207,0.9291423355899419,0.8840958601148128,0.9275014945090949,0.9275047291441634,0.8866034725970267
2,85508,-1,0.8502810001373291,0.8502916693687439,0.8065922260284424,0.33929604291915894,0.3392731845378876,0.43323031067848206,0.8477060794830322,0.847716748714447,0.8066417574882507,0.34225842356681824,0.3422467112541199,0.4355509281158447,0.9290325450958518,0.9290419327844555,0.884163136009028,0.9270168574076089,0.9270225251045631,0.8862367180216868
3,92076,-1,0.8502935171127319,0.8503032326698303,0.8063693642616272,0.3394085168838501,0.3393777906894684,0.4334507882595062,0.8475494980812073,0.8475654125213623,0.8062455058097839,0.3425876200199127,0.3425673246383667,0.4357673227787018,0.9289770247493584,0.9289905104658611,0.8840715163632795,0.9268886503654474,0.926898327518966,0.8860469113389923
4,42530,-1,0.8503811955451965,0.8503962159156799,0.8067160248756409,0.3392402231693268,0.33920663595199585,0.43332597613334656,0.8477123379707336,0.8477335572242737,0.8065674304962158,0.34279781579971313,0.3427724540233612,0.4352664351463318,0.9290410535210225,0.9290561267506123,0.8841550696727344,0.9268824954469164,0.9268946924260505,0.8861494480153084
5,84222,-1,0.8503373861312866,0.8503577709197998,0.806542694568634,0.33935579657554626,0.3393116295337677,0.43328022956848145,0.8472049236297607,0.8472314476966858,0.8063445687294006,0.3442036509513855,0.34416112303733826,0.43585580587387085,0.9290186885363525,0.9290390210892555,0.8841321561748687,0.9262990986380858,0.92631819435024,0.8858442397330848
6,110195,-1,0.8502997756004333,0.8503192067146301,0.8066417574882507,0.3392471969127655,0.33920466899871826,0.4334666430950165,0.8466849327087402,0.8467105031013489,0.8059483766555786,0.34491756558418274,0.34487587213516235,0.436411052942276,0.9289864762347237,0.929005950347305,0.8841686337765566,0.9260031046576837,0.9260217009156796,0.8855738261125559
7,97444,-1,0.8502559065818787,0.850274384021759,0.8066169619560242,0.33963167667388916,0.33958908915519714,0.43338215351104736,0.8444107174873352,0.8444352149963379,0.803521454334259,0.34813055396080017,0.34808918833732605,0.4389856457710266,0.9289229686781395,0.9289426852264734,0.884018430155537,0.9245344889466822,0.9245528139602068,0.8844005949168344
8,79274,-1,0.850406289100647,0.8504301309585571,0.8067903518676758,0.3393007218837738,0.339239239692688,0.43332958221435547,0.8440598845481873,0.844089686870575,0.8033233284950256,0.3486185371875763,0.34854379296302795,0.43947696685791016,0.9290142783274775,0.929041674988381,0.8841545005151856,0.924308558800072,0.9243365081458592,0.8842231441048035
9,105332,-1,0.8498674631118774,0.8498966097831726,0.8064188957214355,0.3401722311973572,0.34010034799575806,0.43383511900901794,0.8447114825248718,0.8447465896606445,0.8036700487136841,0.3477095663547516,0.3476267457008362,0.43879517912864685,0.9286259797405753,0.9286585849767619,0.8838771453805014,0.9247234227664273,0.9247552136980279,0.8845918661989107
