,edges,metagrad,accuracy_before,accuracy_after,accuracy_unseen,loss_before,loss_after,loss_unseen,accuracy_before_eval,accuracy_after_eval,accuracy_unseen_eval,loss_before_eval,loss_after_eval,loss_unseen_eval
0,6,inf,0.8760360479354858,0.8760360479354858,0.7722691297531128,12.334321975708008,12.334321975708008,22.653940200805664,0.8760360479354858,0.8760360479354858,0.7722691297531128,12.334321975708008,12.334321975708008,22.653940200805664
1,0,inf,0.8777400851249695,0.8777455687522888,0.7652608752250671,12.161849975585938,12.161299705505371,23.320566177368164,0.8777400851249695,0.8777455687522888,0.7652608752250671,12.161849975585938,12.161299705505371,23.320566177368164
2,7,inf,0.8776147961616516,0.8776195645332336,0.77023845911026,12.177281379699707,12.176807403564453,22.823373794555664,0.8776147961616516,0.8776195645332336,0.77023845911026,12.177281379699707,12.176807403564453,22.823373794555664
3,3,inf,0.8775458931922913,0.8775561451911926,0.7657313942909241,12.191314697265625,12.190291404724121,23.30233383178711,0.8775458931922913,0.8775561451911926,0.7657313942909241,12.191314697265625,12.190291404724121,23.30233383178711
4,8,inf,0.8779468536376953,0.8779563307762146,0.7692478895187378,12.134842872619629,12.133893966674805,22.93661880493164,0.8779468536376953,0.8779563307762146,0.7692478895187378,12.134842872619629,12.133893966674805,22.93661880493164
5,9,inf,0.8775521516799927,0.8775671720504761,0.769074559211731,12.18278694152832,12.181289672851562,22.95871925354004,0.8775521516799927,0.8775671720504761,0.769074559211731,12.18278694152832,12.181289672851562,22.95871925354004
6,12,inf,0.876311719417572,0.8763258457183838,0.7685049772262573,12.301828384399414,12.300411224365234,22.997663497924805,0.876311719417572,0.8763258457183838,0.7685049772262573,12.301828384399414,12.300411224365234,22.997663497924805
7,13,inf,0.8781536221504211,0.8781607747077942,0.7663753032684326,12.111128807067871,12.110406875610352,23.252090454101562,0.8781536221504211,0.8781607747077942,0.7663753032684326,12.111128807067871,12.110406875610352,23.252090454101562
8,16,inf,0.8779844641685486,0.8779971599578857,0.7658552527427673,12.149195671081543,12.14792537689209,23.262231826782227,0.8779844641685486,0.8779971599578857,0.7658552527427673,12.149195671081543,12.14792537689209,23.262231826782227
9,18,inf,0.8768567442893982,0.8768748641014099,0.7715014815330505,12.236920356750488,12.23510456085205,22.690067291259766,0.8768567442893982,0.8768748641014099,0.7715014815330505,12.236920356750488,12.23510456085205,22.690067291259766
10,19,inf,0.8795381188392639,0.8795619010925293,0.7703127861022949,11.979353904724121,11.976971626281738,22.83795928955078,0.8795381188392639,0.8795619010925293,0.7703127861022949,11.979353904724121,11.976971626281738,22.83795928955078
11,22,inf,0.8762553334236145,0.8762719035148621,0.7693964838981628,12.311017990112305,12.309361457824707,22.944881439208984,0.8762553334236145,0.8762719035148621,0.7693964838981628,12.311017990112305,12.309361457824707,22.944881439208984
12,23,inf,0.876599907875061,0.8766469955444336,0.766201913356781,12.262372016906738,12.257655143737793,23.24007225036621,0.876599907875061,0.8766469955444336,0.766201913356781,12.262372016906738,12.257655143737793,23.24007225036621
13,24,inf,0.8779405951499939,0.8779745101928711,0.7688269019126892,12.146564483642578,12.143167495727539,22.978254318237305,0.8779405951499939,0.8779745101928711,0.7688269019126892,12.146564483642578,12.143167495727539,22.978254318237305
14,27,inf,0.8766186833381653,0.8766392469406128,0.7672915458679199,12.274435043334961,12.272379875183105,23.104387283325195,0.8766186833381653,0.8766392469406128,0.7672915458679199,12.274435043334961,12.272379875183105,23.104387283325195
15,28,inf,0.8754596710205078,0.8754667639732361,0.7673163414001465,12.396215438842773,12.395502090454102,23.139270782470703,0.8754596710205078,0.8754667639732361,0.7673163414001465,12.396215438842773,12.395502090454102,23.139270782470703
16,29,inf,0.8767502307891846,0.8767880201339722,0.7690993547439575,12.26082992553711,12.257046699523926,22.951644897460938,0.8767502307891846,0.8767880201339722,0.7690993547439575,12.26082992553711,12.257046699523926,22.951644897460938
17,32,inf,0.876693844795227,0.8767246603965759,0.7660781145095825,12.26150894165039,12.258429527282715,23.236000061035156,0.876693844795227,0.8767246603965759,0.7660781145095825,12.26150894165039,12.258429527282715,23.236000061035156
18,33,inf,0.8777902126312256,0.8778203129768372,0.7655085325241089,12.156847953796387,12.153833389282227,23.3045597076416,0.8777902126312256,0.8778203129768372,0.7655085325241089,12.156847953796387,12.153833389282227,23.3045597076416
19,35,inf,0.8760673999786377,0.8761090040206909,0.769074559211731,12.337379455566406,12.333209037780762,22.97536277770996,0.8760673999786377,0.8761090040206909,0.769074559211731,12.337379455566406,12.333209037780762,22.97536277770996
20,36,inf,0.8770321607589722,0.8770543932914734,0.7690250277519226,12.228835105895996,12.226609230041504,22.96223258972168,0.8770321607589722,0.8770543932914734,0.7690250277519226,12.228835105895996,12.226609230041504,22.96223258972168
21,37,inf,0.8771511912345886,0.877191424369812,0.7689507603645325,12.227224349975586,12.223458290100098,22.96243667602539,0.8771511912345886,0.877191424369812,0.7689507603645325,12.227224349975586,12.223458290100098,22.96243667602539
22,38,inf,0.8769382238388062,0.8769838809967041,0.7645427584648132,12.241783142089844,12.237204551696777,23.399686813354492,0.8769382238388062,0.8769838809967041,0.7645427584648132,12.241783142089844,12.237204551696777,23.399686813354492
23,41,inf,0.8770697712898254,0.8771272897720337,0.7681583166122437,12.223546981811523,12.217790603637695,23.039047241210938,0.8770697712898254,0.8771272897720337,0.7681583166122437,12.223546981811523,12.217790603637695,23.039047241210938
24,45,inf,0.8775521516799927,0.8776277303695679,0.7672915458679199,12.187886238098145,12.180876731872559,23.105241775512695,0.8775521516799927,0.8776277303695679,0.7672915458679199,12.187886238098145,12.180876731872559,23.105241775512695
25,39,inf,0.8771888017654419,0.877244770526886,0.7706594467163086,12.22195816040039,12.216353416442871,22.798503875732422,0.8771888017654419,0.877244770526886,0.7706594467163086,12.22195816040039,12.216353416442871,22.798503875732422
26,51,inf,0.8771198987960815,0.8771500587463379,0.7692478895187378,12.223584175109863,12.220562934875488,22.93390464782715,0.8771198987960815,0.8771500587463379,0.7692478895187378,12.223584175109863,12.220562934875488,22.93390464782715
27,48,inf,0.8784856200218201,0.8785465359687805,0.7681335210800171,12.088991165161133,12.082889556884766,23.050310134887695,0.8784856200218201,0.8785465359687805,0.7681335210800171,12.088991165161133,12.082889556884766,23.050310134887695
28,53,inf,0.8757792115211487,0.8758451342582703,0.7666972279548645,12.356154441833496,12.349549293518066,23.188962936401367,0.8757792115211487,0.8758451342582703,0.7666972279548645,12.356154441833496,12.349549293518066,23.188962936401367
29,56,inf,0.8772953152656555,0.8773670196533203,0.7697679400444031,12.208128929138184,12.200949668884277,22.874191284179688,0.8772953152656555,0.8773670196533203,0.7697679400444031,12.208128929138184,12.200949668884277,22.874191284179688
30,54,inf,0.877815306186676,0.8778675198554993,0.7689754962921143,12.149890899658203,12.14465618133545,22.942474365234375,0.877815306186676,0.8778675198554993,0.7689754962921143,12.149890899658203,12.14465618133545,22.942474365234375
31,59,inf,0.8771950602531433,0.877265214920044,0.765335202217102,12.216619491577148,12.209593772888184,23.3324031829834,0.8771950602531433,0.877265214920044,0.765335202217102,12.216619491577148,12.209593772888184,23.3324031829834
32,63,inf,0.8763806223869324,0.8764122724533081,0.7700155973434448,12.292839050292969,12.289665222167969,22.85044288635254,0.8763806223869324,0.8764122724533081,0.7700155973434448,12.292839050292969,12.289665222167969,22.85044288635254
33,67,inf,0.8768128752708435,0.8768751621246338,0.7689012289047241,12.25747013092041,12.251232147216797,23.003639221191406,0.8768128752708435,0.8768751621246338,0.7689012289047241,12.25747013092041,12.251232147216797,23.003639221191406
34,66,inf,0.8764746189117432,0.8765360116958618,0.7683069109916687,12.289874076843262,12.283720016479492,23.07288932800293,0.8764746189117432,0.8765360116958618,0.7683069109916687,12.289874076843262,12.283720016479492,23.07288932800293
35,69,inf,0.8771637678146362,0.8772308230400085,0.7684307098388672,12.2212553024292,12.214536666870117,23.017728805541992,0.8771637678146362,0.8772308230400085,0.7684307098388672,12.2212553024292,12.214536666870117,23.017728805541992
36,70,inf,0.8764996528625488,0.8765783309936523,0.7694460153579712,12.272985458374023,12.265101432800293,22.943511962890625,0.8764996528625488,0.8765783309936523,0.7694460153579712,12.272985458374023,12.265101432800293,22.943511962890625
37,71,inf,0.877351701259613,0.8774172067642212,0.7677125334739685,12.201499938964844,12.194929122924805,23.08896827697754,0.877351701259613,0.8774172067642212,0.7677125334739685,12.201499938964844,12.194929122924805,23.08896827697754
38,72,inf,0.8779969811439514,0.8780494332313538,0.7641465067863464,12.13805103302002,12.133069038391113,23.4233455657959,0.8779969811439514,0.8780494332313538,0.7641465067863464,12.13805103302002,12.133069038391113,23.4233455657959
39,74,inf,0.8778842091560364,0.8779420852661133,0.768059253692627,12.140966415405273,12.135161399841309,23.029619216918945,0.8778842091560364,0.8779420852661133,0.768059253692627,12.140966415405273,12.135161399841309,23.029619216918945
40,75,inf,0.878341555595398,0.8784175515174866,0.7671182155609131,12.106816291809082,12.099199295043945,23.128150939941406,0.878341555595398,0.8784175515174866,0.7671182155609131,12.106816291809082,12.099199295043945,23.128150939941406
41,76,inf,0.8770071268081665,0.8770695328712463,0.768455445766449,12.236082077026367,12.229827880859375,23.013948440551758,0.8770071268081665,0.8770695328712463,0.768455445766449,12.236082077026367,12.229827880859375,23.013948440551758
42,77,inf,0.8748958110809326,0.8749945163726807,0.7653599381446838,12.441916465759277,12.432031631469727,23.33465003967285,0.8748958110809326,0.8749945163726807,0.7653599381446838,12.441916465759277,12.432031631469727,23.33465003967285
43,80,inf,0.8782851696014404,0.8783776760101318,0.77023845911026,12.111026763916016,12.101757049560547,22.826038360595703,0.8782851696014404,0.8783776760101318,0.77023845911026,12.111026763916016,12.101757049560547,22.826038360595703
44,81,inf,0.8780345916748047,0.8780887126922607,0.7681583166122437,12.130410194396973,12.124981880187988,23.00626564025879,0.8780345916748047,0.8780887126922607,0.7681583166122437,12.130410194396973,12.124981880187988,23.00626564025879
45,83,inf,0.8772013187408447,0.87727952003479,0.7673410773277283,12.211258888244629,12.203422546386719,23.138744354248047,0.8772013187408447,0.87727952003479,0.7673410773277283,12.211258888244629,12.203422546386719,23.138744354248047
