,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,136784,-1,0.8360095024108887,0.8360095024108887,0.7990143895149231,0.3661026954650879,0.3661026954650879,0.45779478549957275,0.848376452922821,0.848376452922821,0.8072360754013062,0.3410639762878418,0.3410639762878418,0.4351038932800293,0.9164586810309095,0.9164586810309095,0.8781273956135617,0.9275155924622264,0.9275155924622264,0.8865709055002208
1,87412,-1,0.8360220193862915,0.8360272645950317,0.7990143895149231,0.36610332131385803,0.36609897017478943,0.45779740810394287,0.8484014868736267,0.8484067916870117,0.807409405708313,0.34111398458480835,0.34110715985298157,0.43492183089256287,0.9164587114236595,0.9164613260349419,0.8781247252342869,0.9275014945090949,0.9275047291441634,0.8866034725970267
2,85508,-1,0.8361222743988037,0.8361327648162842,0.7991381883621216,0.3661184012889862,0.366103857755661,0.457802414894104,0.8477060794830322,0.847716748714447,0.8066417574882507,0.34225842356681824,0.3422467112541199,0.4355509281158447,0.9164506235950555,0.9164582890588694,0.8781222069574603,0.9270168574076089,0.9270225251045631,0.8862367180216868
3,92076,-1,0.8361097574234009,0.8361254334449768,0.7990143895149231,0.36612504720687866,0.36609920859336853,0.4577922523021698,0.8475494980812073,0.8475654125213623,0.8062455058097839,0.3425876200199127,0.3425673246383667,0.4357673227787018,0.9164462828825591,0.9164592809548332,0.8781238261125558,0.9268886503654474,0.926898327518966,0.8860469113389923
4,42530,-1,0.8360846638679504,0.8360993266105652,0.7990391850471497,0.3661355972290039,0.36610886454582214,0.45781227946281433,0.8477123379707336,0.8477335572242737,0.8065674304962158,0.34279781579971313,0.3427724540233612,0.4352664351463318,0.9164399726851565,0.916453427667525,0.8781102693685294,0.9268824954469164,0.9268946924260505,0.8861494480153084
5,84222,-1,0.8360470533370972,0.8360670208930969,0.7987667322158813,0.3661426603794098,0.3660934269428253,0.4577910006046295,0.8472049236297607,0.8472314476966858,0.8063445687294006,0.3442036509513855,0.34416112303733826,0.43585580587387085,0.9164454046363981,0.916466620349436,0.8781368995633188,0.9262990986380858,0.92631819435024,0.8858442397330848
6,110195,-1,0.8360157608985901,0.8360346555709839,0.7986429333686829,0.36612948775291443,0.3660812973976135,0.4577847719192505,0.8466849327087402,0.8467105031013489,0.8059483766555786,0.34491756558418274,0.34487587213516235,0.436411052942276,0.9164528542972669,0.9164734307682162,0.8781411706981993,0.9260031046576837,0.9260217009156796,0.8855738261125559
7,97444,-1,0.8360157608985901,0.8360336422920227,0.7988162636756897,0.3661258816719055,0.36607861518859863,0.45777854323387146,0.8444107174873352,0.8444352149963379,0.803521454334259,0.34813055396080017,0.34808918833732605,0.4389856457710266,0.9164557529600071,0.9164757567169521,0.8781444789264511,0.9245344889466822,0.9245528139602068,0.8844005949168344
8,79274,-1,0.8360407948493958,0.8360639810562134,0.7985438704490662,0.36618348956108093,0.36610549688339233,0.45782601833343506,0.8440598845481873,0.844089686870575,0.8033233284950256,0.3486185371875763,0.34854379296302795,0.43947696685791016,0.9164346281893396,0.9164636215472737,0.8781238236592906,0.924308558800072,0.9243365081458592,0.8842231441048035
9,105332,-1,0.8359781503677368,0.8360065221786499,0.7986181974411011,0.3662067949771881,0.3661248981952667,0.4578664004802704,0.8447114825248718,0.8447465896606445,0.8036700487136841,0.3477095663547516,0.3476267457008362,0.43879517912864685,0.9164233866360553,0.9164547022987062,0.8781100534811834,0.9247234227664273,0.9247552136980279,0.8845918661989107
