,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,98501,-1,0.85086989402771,0.85086989402771,0.8067903518676758,0.3387678861618042,0.3387678861618042,0.43146196007728577,0.8318120241165161,0.8318120241165161,0.794903576374054,0.3733785152435303,0.3733785152435303,0.4590296149253845,0.9297892277597056,0.9297892277597056,0.8844165840734017,0.9135366167309311,0.9135366167309311,0.8743652298709583
1,146614,-1,0.8508135080337524,0.850812554359436,0.8065178990364075,0.33891063928604126,0.3389115333557129,0.43163448572158813,0.8318871855735779,0.8318861126899719,0.7947797179222107,0.3733811378479004,0.3733816146850586,0.45904091000556946,0.9297213506910341,0.9297208584271144,0.8843222474363377,0.9135350452577883,0.9135346417424451,0.8743577155193563
2,126797,-1,0.8508824110031128,0.8508805632591248,0.8064931631088257,0.339126855134964,0.33912718296051025,0.431681752204895,0.831937313079834,0.8319352269172668,0.7951511740684509,0.37341126799583435,0.37341201305389404,0.45903342962265015,0.929687178176751,0.9296869570883103,0.8842279561846818,0.9135190151307422,0.9135183801041233,0.8743576345616014
3,103034,-1,0.8509074449539185,0.8509109616279602,0.8064436316490173,0.339282751083374,0.3392719030380249,0.43162646889686584,0.8319435715675354,0.8319466710090637,0.7950521111488342,0.3734237253665924,0.3734084665775299,0.459041029214859,0.9296503593610216,0.9296557196417805,0.8842377999116825,0.9135158814746316,0.9135220844428256,0.8743582478779255
4,1877,-1,0.8508197665214539,0.8508285284042358,0.8064436316490173,0.3391471803188324,0.33913102746009827,0.431337833404541,0.8318997025489807,0.8319079875946045,0.7950273752212524,0.3734583556652069,0.3734402656555176,0.45903280377388,0.9297625769028699,0.9297708902216918,0.8843383396300477,0.9134997092857158,0.9135076699585505,0.8743488420587802
5,139134,-1,0.8508510589599609,0.8508652448654175,0.8066417574882507,0.3391961455345154,0.33917611837387085,0.43131154775619507,0.8318120241165161,0.8318255543708801,0.7950521111488342,0.3734894096851349,0.37346750497817993,0.4590536057949066,0.9297572718872906,0.9297678132928882,0.8843287179235564,0.9134864077715066,0.9134968133745323,0.874324965654286
6,128892,-1,0.8506631255149841,0.8506826162338257,0.8061959743499756,0.3394607901573181,0.3394375443458557,0.43152478337287903,0.8317556381225586,0.8317743539810181,0.7951759696006775,0.37348461151123047,0.37345924973487854,0.45902785658836365,0.9296252691081706,0.9296376559889716,0.8842197487856337,0.9134871925384113,0.9134997677043949,0.8743516019822384
7,41733,-1,0.8506882190704346,0.8507129549980164,0.8061217069625854,0.33967331051826477,0.33964651823043823,0.4314959645271301,0.8318433165550232,0.8318672776222229,0.7951016426086426,0.3734775185585022,0.3734469711780548,0.45900651812553406,0.9295704962404495,0.9295849056203839,0.8841998883764292,0.9134917074667287,0.9135074629923882,0.8743572506255828
8,95180,-1,0.8508009910583496,0.8508310914039612,0.8063445687294006,0.3397356867790222,0.3396982252597809,0.43135061860084534,0.8318683505058289,0.8318975567817688,0.7950025796890259,0.3734886348247528,0.37342894077301025,0.45896846055984497,0.9296155520296032,0.9296353754506287,0.8841939379814533,0.9134979363916871,0.9135227905063372,0.8743816863745647
9,121782,-1,0.8511518239974976,0.8511872887611389,0.8068893551826477,0.3387645483016968,0.33872100710868835,0.4308551847934723,0.8319122195243835,0.831946611404419,0.7949778437614441,0.3734983801841736,0.3734351098537445,0.45895111560821533,0.930008123976142,0.9300312258981283,0.8845339679112898,0.9134973175962372,0.9135244637922371,0.8743943206908396
