,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,136784,-1,0.8681297302246094,0.8681297302246094,0.7724425196647644,0.2945304811000824,0.2945304811000824,0.5614160299301147,0.9091523885726929,0.9091523885726929,0.7618434429168701,0.2118370085954666,0.2118370085954666,0.7242200970649719,0.9458211010405806,0.9458211010405806,0.8522932939993131,0.972411446309926,0.972411446309926,0.8365536504587607
1,87412,-1,0.8681485056877136,0.8681539297103882,0.7721205353736877,0.2945456802845001,0.2945415675640106,0.5580647587776184,0.908738911151886,0.9087383151054382,0.76154625415802,0.21258781850337982,0.21258655190467834,0.7246975302696228,0.9457551583602015,0.9457569533585369,0.8525178327854375,0.9722471905101839,0.9722476446123991,0.8364136597811687
2,85508,-1,0.8683991432189941,0.8684037327766418,0.7729625105857849,0.2951853275299072,0.295180082321167,0.5605777502059937,0.9090772271156311,0.9090760946273804,0.7616948485374451,0.21189206838607788,0.21189159154891968,0.7261635661125183,0.9457156959893718,0.9457180136622831,0.8529710024042,0.9724199492856104,0.972420230054511,0.8368954528727737
3,92076,-1,0.8682425022125244,0.8682525753974915,0.7727891802787781,0.2951394021511078,0.2951217293739319,0.5571351051330566,0.90887051820755,0.908875048160553,0.7619177103042603,0.21186421811580658,0.21186049282550812,0.7261454463005066,0.9456600994110128,0.9456669146277131,0.8531803971836515,0.9724274314605184,0.97242866493544,0.8368862604877092
4,42530,-1,0.8680357336997986,0.8680449724197388,0.7721948623657227,0.29459041357040405,0.29457324743270874,0.5613006353378296,0.9090772271156311,0.909081220626831,0.7616453170776367,0.21191656589508057,0.21191227436065674,0.725987434387207,0.9458011650067499,0.9458078160522514,0.8523698665423679,0.9724127877792509,0.9724142706305343,0.8369277206712135
5,84222,-1,0.8681422472000122,0.8681507110595703,0.7719720005989075,0.2946211099624634,0.2946053445339203,0.5615713596343994,0.9089519381523132,0.9089616537094116,0.7617196440696716,0.2119748294353485,0.21196696162223816,0.7259551286697388,0.9457930122490413,0.9457991348883362,0.8522931296305382,0.9723998985373787,0.9724024072399328,0.8369097860752661
6,110195,-1,0.8680983781814575,0.8681060075759888,0.772021472454071,0.2945420742034912,0.2945267856121063,0.5615525841712952,0.9086637496948242,0.9086728692054749,0.7620415687561035,0.21270795166492462,0.21270126104354858,0.7262961268424988,0.9458184425498976,0.9458244082310678,0.8523077081595603,0.9722384972553333,0.9722406947514852,0.8367586097345567
7,97444,-1,0.8680232167243958,0.8680362105369568,0.7727891802787781,0.29519301652908325,0.2951740026473999,0.5572810173034668,0.9088454246520996,0.9088539481163025,0.7612243294715881,0.211756631731987,0.21175150573253632,0.7216173410415649,0.9456432015861377,0.9456507932221274,0.8531542699082479,0.9724294271967628,0.9724312589496558,0.8366042024434521
8,79274,-1,0.8682737946510315,0.8682860732078552,0.7719472050666809,0.29465460777282715,0.2946373522281647,0.5614923238754272,0.908820390701294,0.9088346362113953,0.7616701126098633,0.21180658042430878,0.21178394556045532,0.721653163433075,0.9457845239957546,0.9457914603509565,0.8522934191158431,0.9724186398923009,0.9724246971210009,0.8366114162700553
9,105332,-1,0.8678603172302246,0.8678717017173767,0.772021472454071,0.29468223452568054,0.2946664094924927,0.5582098364830017,0.9089519381523132,0.9089655876159668,0.7617196440696716,0.2119641900062561,0.21194303035736084,0.7242166996002197,0.9457103670988376,0.9457168443034795,0.8524686386830872,0.9724025469945835,0.9724081737532972,0.8368924770619695
