,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,42421,0.0001862233184510842,0.8641910552978516,0.8641910552978516,0.7876476645469666,0.31000229716300964,0.31000229716300964,0.5230464339256287,0.8674386143684387,0.8674386143684387,0.7906689047813416,0.30286964774131775,0.30286964774131775,0.5273370742797852,0.9398200839390703,0.9398200839390703,0.8674215531622589,0.9428633892279057,0.9428633892279057,0.8704436484961485
1,64940,0.00015844442532397807,0.8641740679740906,0.8641788959503174,0.7877219319343567,0.3100884258747101,0.3100276291370392,0.523067831993103,0.8674556016921997,0.8674604892730713,0.7906936407089233,0.3028973639011383,0.30287474393844604,0.5273461937904358,0.9398032755179127,0.9398133280579232,0.8674086023747607,0.9428581396398112,0.9428636486654637,0.8704401525931014
2,167880,0.0001534826005809009,0.8640833497047424,0.8640931248664856,0.7878953218460083,0.31012746691703796,0.3100224733352661,0.5227567553520203,0.8674839735031128,0.8674938082695007,0.7906193733215332,0.30293503403663635,0.3028841018676758,0.5272161364555359,0.9397986651612265,0.9398174155796011,0.8674436080172709,0.9428484701209305,0.9428603603907214,0.8704549065305922
3,116647,0.00015214376617223024,0.8641230463981628,0.8641377091407776,0.7880439162254333,0.3101670444011688,0.3100466728210449,0.5227708220481873,0.8674216270446777,0.8674363493919373,0.7905450463294983,0.3029746413230896,0.30289721488952637,0.5272423028945923,0.9397872963049173,0.9398105991927288,0.86745070408714,0.9428371759719262,0.9428551705924135,0.8704416576713607
4,81614,0.00014709850074723363,0.8640946745872498,0.8641142249107361,0.7878705263137817,0.3101987838745117,0.3100694715976715,0.5227618217468262,0.8674669861793518,0.8674865961074829,0.790644109249115,0.30301231145858765,0.30291053652763367,0.5272605419158936,0.9397780052667921,0.9398047598123089,0.8674544833423287,0.942826380483226,0.9428501471198216,0.8704249852804082
5,75094,0.0001439192856196314,0.8640379905700684,0.864062488079071,0.7877219319343567,0.3102533221244812,0.3100965917110443,0.5228164792060852,0.8674726486206055,0.8674972057342529,0.790644109249115,0.30305588245391846,0.30291616916656494,0.5272542238235474,0.9397648785786775,0.9397981870372483,0.867438421814435,0.9428163568136284,0.94284789091503,0.8704265762229527
6,12948,0.00014282936172094196,0.8639870285987854,0.8640164136886597,0.7876971960067749,0.31040170788764954,0.3101279139518738,0.5228027701377869,0.8674442768096924,0.8674737811088562,0.7905698418617249,0.30310195684432983,0.3029191195964813,0.5273552536964417,0.9397405240571514,0.9397859408216067,0.8674391749668808,0.9428070297821003,0.9428470664217643,0.8703985170011286
7,74822,0.00014082026609685272,0.8638906478881836,0.8639249205589294,0.7876476645469666,0.31049343943595886,0.31014373898506165,0.5227180123329163,0.867387592792511,0.8674219846725464,0.7906689047813416,0.30313873291015625,0.3029228150844574,0.5273615717887878,0.9397226203669307,0.9397789078703128,0.8674249104558166,0.9427990355929304,0.942846162451261,0.8704004685736716
8,110072,0.00014009264123160392,0.8638226389884949,0.8638617992401123,0.7876476645469666,0.31052732467651367,0.31015607714653015,0.5226245522499084,0.8673932552337646,0.8674325942993164,0.7905698418617249,0.3031633198261261,0.30292952060699463,0.5272095203399658,0.9397113011630259,0.9397734885565847,0.8674286234728423,0.9427901935568905,0.9428421166429881,0.8704099394043472
9,117929,0.00013808568473905325,0.8638169765472412,0.863861083984375,0.78762286901474,0.3105772137641907,0.3101716935634613,0.5225916504859924,0.8673592805862427,0.8674035668373108,0.7904707789421082,0.3031993508338928,0.3029332756996155,0.5272383093833923,0.9397005876738276,0.9397701836176502,0.8674289779696778,0.9427818578125402,0.9428408075806285,0.8703991683430647
10,98452,0.00013470041449181736,0.8638056516647339,0.8638545870780945,0.7874743342399597,0.31063205003738403,0.31020432710647583,0.5221878886222839,0.8675009608268738,0.8675501346588135,0.7905450463294983,0.3032661974430084,0.3029685914516449,0.5270744562149048,0.9396854164397875,0.9397607738595235,0.8674861304646485,0.942759098317037,0.9428249321391906,0.8703926622834993
11,93093,0.00013385742204263806,0.8638226389884949,0.8638765215873718,0.7875486016273499,0.31069472432136536,0.31024590134620667,0.5222464799880981,0.8674556016921997,0.8675097227096558,0.7903717160224915,0.3032960593700409,0.3029787838459015,0.5271443724632263,0.9396631325053468,0.9397440817890031,0.8674552193219175,0.9427517787424651,0.9428227173383249,0.870365314508611
12,67662,0.00013313445379026234,0.8638056516647339,0.8638643622398376,0.7874990701675415,0.3107527792453766,0.3102561831474304,0.5222793221473694,0.8674952983856201,0.867554247379303,0.7904459834098816,0.30335718393325806,0.3029920160770416,0.5271018147468567,0.939650550325195,0.9397402625172411,0.8674539890093715,0.9427358828030982,0.9428158953145904,0.8703868811638291
13,139984,0.00013047936954535544,0.8638113141059875,0.8638749122619629,0.78762286901474,0.3108116686344147,0.31028297543525696,0.5222563743591309,0.8674613237380981,0.8675251603126526,0.790247917175293,0.30337750911712646,0.30299830436706543,0.5271463394165039,0.9396335687619886,0.9397305188045756,0.8674442802119622,0.9427286430555868,0.9428127748221433,0.8703640228644325
14,116477,0.00013020950427744538,0.8637772798538208,0.8638458251953125,0.7876724004745483,0.3108823299407959,0.3102918565273285,0.522214949131012,0.8675066232681274,0.867575466632843,0.7903469800949097,0.30342328548431396,0.30300813913345337,0.5271162390708923,0.9396196569152382,0.9397268784029038,0.8674562190275257,0.942719229086945,0.9428109026445424,0.8703702014130807
15,132627,0.00012919714208692312,0.8637886643409729,0.8638620376586914,0.7876476645469666,0.31092673540115356,0.3103088438510895,0.522260844707489,0.8675066232681274,0.8675803542137146,0.7902726531028748,0.30345216393470764,0.30301111936569214,0.5270988941192627,0.9396077110588432,0.9397214279510288,0.8674545176880428,0.9427113270613374,0.9428090883753008,0.8703726178793976
16,51902,0.00012876921391580254,0.8637433052062988,0.8638216257095337,0.7874743342399597,0.310968279838562,0.3103379011154175,0.5223719477653503,0.8674839735031128,0.8675625920295715,0.7903221845626831,0.3034971058368683,0.30301737785339355,0.5270969867706299,0.9395919031479477,0.9397099738262655,0.8674136413816791,0.9427018388726557,0.942807499053649,0.870372783474805
17,7826,0.00012617811444215477,0.8636979460716248,0.8637811541557312,0.7875486016273499,0.31102725863456726,0.31037992238998413,0.5222080945968628,0.8674726486206055,0.8675562143325806,0.7903717160224915,0.30351245403289795,0.303024023771286,0.5270407795906067,0.9395711899040623,0.939694258766153,0.8674315170992593,0.9426958843568449,0.9428045866736845,0.8703752845787744
18,101147,0.00012611915008164942,0.8637319803237915,0.8638200163841248,0.7875981330871582,0.31105324625968933,0.3103766441345215,0.5222289562225342,0.8673989772796631,0.8674874305725098,0.7905450463294983,0.3035556674003601,0.3030480742454529,0.5270580053329468,0.9395663224117776,0.9396961045182066,0.8674307725332417,0.9426806822614942,0.9427944108389252,0.8703577167459888
19,67155,0.0001239510311279446,0.8637036085128784,0.8637966513633728,0.7875486016273499,0.31105542182922363,0.31034964323043823,0.5221508145332336,0.8674046397209167,0.8674980401992798,0.7904212474822998,0.30357804894447327,0.3030455708503723,0.5271269679069519,0.9395753395651087,0.939711851729413,0.8674306474167115,0.9426770521538576,0.9427967108743,0.870343011873804
20,102071,0.0001239087723661214,0.8636922836303711,0.8637902140617371,0.7875238656997681,0.31109490990638733,0.31038784980773926,0.5221909880638123,0.867336630821228,0.8674349188804626,0.7904212474822998,0.3036106824874878,0.3030545711517334,0.5271345376968384,0.9395604217625522,0.9396990197730738,0.8674183590108434,0.9426686757899091,0.9427940835701468,0.870335887591384
21,63090,0.00012373190838843584,0.8636979460716248,0.8638007044792175,0.7874990701675415,0.3111262023448944,0.3103994131088257,0.5221889615058899,0.8673025965690613,0.8674057722091675,0.7903469800949097,0.30364102125167847,0.30306726694107056,0.5271798968315125,0.9395519448381311,0.939696013646311,0.8674228533928658,0.9426594488822642,0.9427894671508432,0.8703187601197193
22,52727,0.00012244896788615733,0.8637149333953857,0.8638226389884949,0.7874000072479248,0.31116071343421936,0.3104326128959656,0.5221928358078003,0.8672572374343872,0.8673654198646545,0.7900745272636414,0.30367136001586914,0.3030878007411957,0.5272364020347595,0.9395374771865137,0.9396838760929089,0.8674130636377018,0.9426490330906223,0.9427824419578497,0.8702978497129681
